bill_id,category_ids,category_labels,bill_type,bill_category,reason
s2363-112,,,,,"The bill suspends duties on handheld food blenders under the Harmonized Tariff Schedule, which relates to foreign trade and tariffs, not private employer wage, hour, or benefit obligations."
s792-115,1.0,Wage Hour & Benefits,enforcement,wage_hour,"The bill establishes specific wage, housing, and recruitment obligations for private employers utilizing H-2B temporary non-agricultural workers, directly regulating private employer conduct regarding worker compensation and conditions."
hr5601-111,,,,,"The bill provides relief to homeowners with FHA-insured mortgages affected by the Deepwater Horizon oil spill, focusing on housing finance and disaster relief rather than private employer wage, hour, or benefit obligations."
s90-112,,,,,"The bill establishes a voluntary award program administered by the Department of Defense to recognize private employers with family-friendly policies; it does not impose mandatory wage, hour, or benefit obligations, nor does it introduce tax credits or enforce compliance with existing labor laws."
hr1238-115,,,,,"The bill focuses on Department of Homeland Security coordination for food and agriculture defense against terrorism, involving only government agencies and not imposing any wage, hour, or benefit obligations on private employers."
hr1128-114,,,,,"The bill focuses on information security and data privacy within the Department of Veterans Affairs, a government agency, and does not regulate private employer wage, hour, or benefit obligations."
hr173-116,,,,,"The bill regulates environmental review processes and eminent domain for natural gas pipelines under the Natural Gas Act, which does not involve private employer wage, hour, or benefit obligations."
hr6619-112,,,,,"The bill concerns the conveyance of federal land to a municipal government for economic development and does not regulate private employer wage, hour, or benefit obligations."
s1709-112,,,,,"The bill adjusts interest rates for federal SBA disaster loans, which is a government lending and disaster relief measure, not a regulation of private employer wage, hour, or benefit obligations."
hr1054-114,,,,,"The bill addresses retirement benefits for Members of Congress under the Civil Service Retirement System and Federal Employees Retirement System, which are public-sector/government employee programs, not private employer obligations."
hr208-116,,,,,"The bill extends the federal Supplemental Security Income (SSI) program to Guam, which is a public assistance program administered by the government, not a regulation of private employer wage, hour, or benefit obligations."
hr4777-111,,,,,"The bill provides a general hiring tax credit and payroll tax exemption to incentivize job creation, which is explicitly excluded as it relates to hiring decisions rather than regulating private employer wage, hour, or benefit compliance obligations."
hr4757-113,,,,,"The bill amends private activity bond rules for first-time farmers, which is a tax provision related to agricultural financing and does not impose obligations on private employers regarding wages, hours, or employee benefits."
s843-113,,,,,"The bill regulates federal agency ammunition purchasing and possession, which involves government procurement and law enforcement administration, not private employer wage, hour, or benefit obligations."
hr4307-113,,,,,"The bill concerns food safety regulations regarding unpasteurized milk and does not address private employer wage, hour, or benefit obligations."
hr4807-114,,,,,"The bill adjusts federal matching rates for Medicaid expansion under the Social Security Act, which is a government benefit program and reimbursement mechanism, not a regulation of private employer wage, hour, or benefit obligations."
hr5469-111,,,,,"The bill addresses mileage reimbursement rates and vehicle transport allowances for members of the Armed Forces, which are government employee benefits administered by the DoD, not private employer wage or benefit obligations."
hr432-114,,,,,"The bill regulates the registration and reporting requirements for investment advisers of Small Business Investment Companies under the Investment Advisers Act of 1940, which is a matter of financial services regulation and does not impose obligations on private employers regarding wages, hours, or employee benefits."
hr1745-115,,,,,"The bill addresses federal budget sequestration and automatic spending cuts under the Balanced Budget and Emergency Deficit Control Act, which are macroeconomic fiscal policy measures unrelated to private employer wage, hour, or benefit obligations."
hr1310-114,,,,,"The bill regulates institutions of higher education regarding campus sexual violence reporting and disciplinary procedures under the Higher Education Act and Title IX, which does not involve private employer wage, hour, or benefit obligations such as FLSA, ERISA, or FMLA compliance."
s3725-111,,,,,"The bill addresses customs enforcement, antidumping duties, and trade compliance regarding imported merchandise, which does not involve private employer wage, hour, or benefit obligations."
hr1703-114,,,,,"The bill regulates consumer reporting agencies regarding credit reports for minors under the Fair Credit Reporting Act, which does not involve private employer wage, hour, or benefit obligations."
hr6334-115,,,,,"The bill establishes a coding education demonstration program for high school students under the Perkins Act, which is an education policy initiative and does not regulate private employer wage, hour, or benefit obligations."
hr3287-115,,,,,"The bill requires the Congressional Budget Office to calculate carbon scores for legislation, which relates to environmental policy and legislative procedure, not private employer wage, hour, or benefit obligations."
s2439-112,,,,,"The bill concerns the suspension of import duties on potassium sorbate, which is a matter of foreign trade and tariffs, not private employer wage, hour, or benefit obligations."
s1258-113,,,,,"The bill authorizes the award of the Medal of Honor to a Civil War veteran, which is a congressional tribute and military recognition matter, not a regulation of private employer wage, hour, or benefit obligations."
hr2833-115,,,,,"The bill concerns international affairs, arms exports, and military assessments regarding Israel's qualitative military edge; it does not regulate private employer wage, hour, or benefit obligations."
hr747-112,,,,,"The bill extends the Build America Bonds program, which is a tax-exempt financing mechanism for state and local governments, not a regulation of private employer wage, hour, or benefit obligations."
hr5184-114,,,,,"The bill amends tax rules regarding nonresident aliens and mutual fund investments, which does not involve private employer wage, hour, or benefit obligations."
hr3971-115,,,,,"The bill regulates mortgage lending practices and escrow account requirements for financial institutions under the Truth in Lending Act and Real Estate Settlement Procedures Act, which are consumer credit and housing finance issues, not private employer wage, hour, or benefit obligations."
hr6213-112,,,,,"The bill regulates federal loan guarantee programs and imposes penalties on federal officials for violations of energy policy statutes; it does not impose obligations on private employers regarding wages, hours, or employee benefits."
hr3972-113,,,,,"The bill addresses employment discrimination based on unemployment status, which is not a wage, hour, or benefit obligation (such as minimum wage, overtime, WARN Act notice, ERISA plan administration, or FMLA leave) covered by the specified Violation Tracker category."
hr587-114,,,,,"The bill provides federal grants to states to improve early education programs and sets requirements for teacher qualifications and benefits within those state-funded programs, but it does not regulate private employer wage, hour, or benefit obligations under statutes like FLSA, ERISA, or FMLA."
hr5468-113,,,,,"The bill designates a USPS facility name as a congressional tribute and does not regulate private employer wage, hour, or benefit obligations."
s2158-114,,,,,"The bill repeals a tax credit for electricity production from renewable resources, which is an energy policy measure unrelated to private employer wage, hour, or benefit obligations."
s1353-114,,,,,"The bill addresses judicial jurisdiction and procedural rules for civil actions against the United States government, not private employer wage, hour, or benefit obligations."
hr4732-113,,,,,"The bill authorizes federal agencies to establish prize competitions for ocean acidification research and innovation, which is unrelated to private employer wage, hour, or benefit obligations."
s1432-114,,,,,"The bill requires the Department of Energy to conduct a study on recycled carbon fiber technology and economic impact; it does not impose any obligations on private employers regarding wages, hours, or benefits."
hr2116-113,,,,,"The bill amends the Internal Revenue Code to adjust eligibility and rates for the Earned Income Tax Credit, which is a refundable tax credit for low-to-moderate-income individuals and families, not a regulation of private employer wage, hour, or benefit obligations."
hr1780-114,,,,,"The bill modifies the dependent care tax credit for individuals, which is explicitly excluded as a general tax or family policy measure unrelated to private employer wage or benefit obligations."
hr5673-114,,,,,"The bill authorizes federal disaster assistance for drinking water contamination and does not regulate private employer wage, hour, or benefit obligations."
hr1456-113,,,,,"The bill regulates product safety standards for portable fuel containers under the Consumer Product Safety Commission, which does not involve private employer wage, hour, or benefit obligations."
hr1383-113,,,,,"The bill appropriates funds for state education programs under the American Recovery and Reinvestment Act, which involves government funding rather than regulating private employer wage, hour, or benefit obligations."
s1615-112,,,,,"The bill focuses on administrative procedures and economic analysis requirements for federal financial regulatory agencies (e.g., SEC, CFTC, FDIC), rather than imposing obligations on private employers regarding wages, hours, or benefits."
hr1907-113,,,,,"The bill primarily regulates hospital staffing ratios and patient safety standards under the Public Health Service Act, rather than imposing direct wage, hour, or benefit obligations on private employers as defined by FLSA, ERISA, or FMLA; while it includes anti-retaliation provisions, these are tied to patient safety compliance rather than wage or benefit violations."
s1159-115,,,,,"The bill addresses discriminatory state and local taxes on motor vehicle rental businesses, which is a matter of tax administration and commercial regulation, not private employer wage, hour, or benefit obligations."
hr3613-113,,,,,"The bill adjusts Medicare payment rates for hospitals, which sets government reimbursement rates rather than regulating private employer wage, hour, or benefit obligations."
hr682-114,,,,,"The bill concerns the withdrawal of federal lands from mining and leasing activities and the designation of wild and scenic rivers, which relates to public lands and natural resources rather than private employer wage, hour, or benefit obligations."
s3373-111,,,,,"The bill designates air quality empowerment zones and provides grants for replacing polluting vehicles to improve public health; it does not regulate private employer wage, hour, or benefit obligations."
hr1117-113,,,,,"The bill regulates political campaign contributions and expenditures by domestic corporations with foreign ownership interests under the Federal Election Campaign Act, which is unrelated to private employer wage, hour, or benefit obligations."
hr2131-115,,,,,"The bill regulates internal personnel management and discipline procedures for employees of the Department of Homeland Security, a federal government agency, rather than imposing obligations on private non-governmental employers."
s273-113,1.0,Wage Hour & Benefits,enforcement,pension,"Amends ERISA to modify the definition of fiduciary for employee stock ownership plans (ESOPs), directly regulating private employer obligations and fiduciary standards regarding retirement benefit plans."
hr4299-114,,,,,"The bill regulates the classification of 'excepted benefits' (such as fixed indemnity insurance) under the Public Health Service Act and restricts HHS authority, but it does not impose new mandatory obligations on private employers as sponsors of group health or welfare benefit plans under ERISA; rather, it addresses insurance market definitions and regulatory scope."
hr3771-113,,,,,"The bill provides income tax benefits for individual charitable contributions related to disaster relief, which is a general tax policy matter and does not regulate private employer wage, hour, or benefit obligations."
s950-113,,,,,"The bill amends the Controlled Substances Act regarding veterinary practice locations and does not regulate private employer wage, hour, or benefit obligations."
hr5032-114,,,,,"The bill concerns land use restrictions for a public park in Virginia under the Land Water Conservation Fund and does not regulate private employer wage, hour, or benefit obligations."
hr2496-115,,,,,"The bill concerns U.S. funding obligations to the United Nations and international affairs, not private employer wage, hour, or benefit obligations."
s791-114,,,,,"The bill focuses on energy policy, specifically removing barriers to oil, gas, and coal exports and streamlining federal permitting processes; it does not regulate private employer wage, hour, or benefit obligations."
s3577-112,,,,,"The bill addresses conditions in foreign prisons and detention facilities through U.S. foreign aid and diplomatic reporting, which does not involve private employer wage, hour, or benefit obligations."
s1253-113,,,,,"The bill designates river segments as part of the National Wild and Scenic Rivers System and addresses land management and hydroelectric licensing; it does not regulate private employer wage, hour, or benefit obligations."
hr1335-113,,,,,"The bill regulates mortgage purchase disclosures by Fannie Mae and Freddie Mac regarding short sales, which relates to housing finance and consumer protection rather than private employer wage, hour, or benefit obligations."
hr2417-113,,,,,"The bill focuses on protecting electric infrastructure from electromagnetic pulse threats and authorizes FERC to impose reliability standards on utility owners and operators; it does not regulate private employer wage, hour, or benefit obligations."
s820-115,,,,,"The bill designates land in the Arctic National Wildlife Refuge as wilderness, which relates to public lands and natural resources rather than private employer wage, hour, or benefit obligations."
s646-113,,,,,"The bill establishes a National Endowment for the Oceans to fund environmental conservation and research, which does not involve private employer wage, hour, or benefit obligations."
hjres109-115,,,,,"The bill proposes a constitutional amendment regarding federal budget deficits and Social Security trust fund solvency, which are government fiscal matters and public assistance programs, not private employer wage, hour, or benefit obligations."
s1052-116,,,,,"The bill authorizes the Department of Energy to develop technology for extracting rare earth elements from coal, which is an energy and technology initiative unrelated to private employer wage, hour, or benefit obligations."
hr367-112,,,,,"The bill prohibits firearm possession near Members of Congress and imposes conditions on state grant funding; it does not regulate private employer wage, hour, or benefit obligations."
s1725-116,,,,,"The bill adjusts Medicare payment rules and provider eligibility for home health assessments, which constitutes a change in government reimbursement rates rather than a regulation of private employer wage, hour, or benefit obligations."
hr5640-113,,,,,"The bill appropriates federal grants to states, local governments, and nonprofits for housing programs for persons with HIV/AIDS, which does not regulate private employer wage, hour, or benefit obligations."
hr3052-115,,,,,"The bill focuses on higher education regulatory reform and student aid eligibility under the Higher Education Act, which does not involve private employer wage, hour, or benefit obligations."
s3111-112,,,,,"The bill suspends duties on a specific chemical compound under the Harmonized Tariff Schedule, which relates to foreign trade and international finance, not private employer wage, hour, or benefit obligations."
hr2234-112,1.0,Wage Hour & Benefits,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act to strengthen prohibitions on oppressive child labor and increase penalties for violations, directly regulating private employer conduct regarding the employment of minors."
hr4053-114,,,,,"The bill authorizes the Department of Veterans Affairs to make grants for facility repairs, which is a government funding action for veterans' services and does not regulate private employer wage, hour, or benefit obligations."
s119-113,,,,,"The bill concerns eligibility requirements for foreign nongovernmental organizations receiving U.S. foreign assistance, which does not involve private employer wage, hour, or benefit obligations."
hr5799-111,,,,,"The bill focuses on national intermodal transportation planning and infrastructure studies, containing no provisions regulating private employer wage, hour, or benefit obligations."
hr4487-112,,,,,"The bill suspends duties on polyester fiber imports, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
hr2962-114,,,,,"The bill appropriates federal funds to states and educational institutions to waive tuition for students, which is a public education policy matter and does not regulate private employer wage, hour, or benefit obligations."
hr4911-112,,,,,"The bill suspends duties on lithium-ion batteries, which is a trade and tariff measure unrelated to private employer wage, hour, or benefit obligations."
hr2782-116,1.0,Wage Hour & Benefits,enforcement,healthcare,"The bill modifies the definition of full-time employment under the ACA employer mandate, directly altering the threshold at which private employers are obligated to provide health coverage or face penalties, thereby regulating private employer benefit obligations."
hr6674-112,,,,,"The bill establishes a federal student loan repayment program and modifies tax withholding procedures for borrowers, but it does not regulate private employer wage, hour, or benefit obligations (such as FLSA, ERISA, or FMLA compliance)."
hr4488-115,,,,,"The bill addresses immigration status and work authorization for individuals under DACA, which is a matter of federal immigration law and public policy, not private employer wage, hour, or benefit obligations."
s743-114,,,,,"The bill grants veteran status to Guard and Reserve retirees under Title 38, which is a government benefit program and does not impose obligations on private non-governmental employers regarding wages, hours, or benefits."
s677-116,,,,,"The bill expands access to the Supplemental Nutrition Assistance Program (SNAP) for U.S. territories, which is a public assistance program administered by the government, not a regulation of private employer wage, hour, or benefit obligations."
s3146-111,,,,,"The bill provides tax credits to landowners for habitat protection of endangered species, which is unrelated to private employer wage, hour, or benefit obligations."
hr3796-113,,,,,"The bill adjusts Medicare payment rates for hospitalizations, which sets government reimbursement rates rather than regulating private employer wage or benefit obligations."
hr5366-111,,,,,"The bill addresses debarment for violations of the Foreign Corrupt Practices Act, which relates to bribery and corruption rather than private employer wage, hour, or benefit obligations."
s1756-113,,,,,"The bill regulates nutritional disclosure requirements for restaurants and retail food establishments under the Federal Food, Drug, and Cosmetic Act, which is a consumer protection and public health matter, not a private employer wage, hour, or benefit obligation."
hr6657-115,,,,,"The bill primarily concerns border security funding and immigration enforcement; the single provision amending the Fair Labor Standards Act applies to Border Patrol agents, who are federal government employees, and thus does not involve private employer wage or benefit obligations."
hr1029-112,,,,,"The bill addresses compensation payments under a federal government program (Energy Employees Occupational Illness Compensation Program) for survivors of Department of Energy contractor employees, which constitutes a government benefit program rather than a regulation of private employer wage, hour, or benefit obligations."
hr1841-112,,,,,"The bill focuses on data security, privacy, and breach notification requirements for entities holding personal information, which does not involve private employer wage, hour, or benefit obligations such as those under FLSA, ERISA, or FMLA."
hr4893-112,,,,,"The bill suspends tariffs on imported footwear, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
hr5558-115,,,,,"The bill establishes a Medicare demonstration project and provides incentive payments to hospitals for prescribing practices; it does not impose obligations on private employers regarding wages, hours, or employee benefit plans."
hr4143-112,1.0,Wage Hour & Benefits,enforcement,pension,"The bill amends the Internal Revenue Code to regulate the transfer of excess assets from private employer-defined benefit pension plans to retiree health and life insurance accounts, directly affecting private employer obligations regarding pension plan management and asset allocation."
s2226-113,,,,,"The bill establishes an EPA program for water efficiency and conservation, focusing on environmental protection and consumer incentives rather than private employer wage, hour, or benefit obligations."
s383-114,,,,,"The bill concerns the management of federal trust assets for Native American tribes and the administrative structure of the Department of the Interior, which are government-to-tribe fiduciary responsibilities rather than private employer wage, hour, or benefit obligations."
hr3838-112,,,,,"The bill authorizes federal grants to ports to create summer jobs for high school students, which is a government-funded employment and training program rather than a regulation of private employer wage, hour, or benefit obligations."
s1960-114,,,,,"The bill establishes a statute of limitations for SEC civil monetary penalties regarding securities violations, which does not involve private employer wage, hour, or benefit obligations."
s3408-114,,,,,"The bill provides grants and loans for rural broadband infrastructure through the USDA, which does not regulate private employer wage, hour, or benefit obligations."
hr4598-114,1.0,Wage Hour & Benefits,enforcement,wage_hour,"The bill imposes direct wage obligations on private employers sponsoring H-1B visas by mandating they pay the greater of the prevailing wage or $110,000, and establishes enforcement mechanisms for violations of these wage and employment conditions."
s2654-114,,,,,"The bill appropriates federal funds for disaster relief and environmental monitoring related to crab fisheries, which does not regulate private employer wage, hour, or benefit obligations."
s1445-115,,,,,"The bill regulates community participation in the National Flood Insurance Program and FEMA grant eligibility, involving government programs and disaster relief rather than private employer wage, hour, or benefit obligations."
hr3408-112,,,,,"The bill primarily concerns energy policy, oil shale leasing, and pipeline permitting regulations, with no provisions regulating private employer wage, hour, or benefit obligations."
s3448-114,,,,,"The bill concerns the disclosure of missing Armed Forces personnel records by government agencies (NARA, DoD), which is a matter of national security and government transparency, not private employer wage, hour, or benefit obligations."
s2275-113,,,,,"The bill expands eligibility for federal infrastructure financing (TIFIA) for public transit projects and does not impose obligations on private employers regarding wages, hours, or benefits."
hr6613-112,,,,,"The bill reorganizes federal financial regulatory agencies (SEC and CFTC) and does not impose obligations on private employers regarding wages, hours, or benefits."
hr1086-115,,,,,"The bill regulates executive agency procedures for relocating federal offices and does not impose obligations on private non-governmental employers regarding wages, hours, or benefits."
s1446-115,,,,,"The bill reauthorizes a federal grant program for historic preservation at Historically Black Colleges and Universities, which does not regulate private employer wage, hour, or benefit obligations."
s3837-111,,,,,"The bill restricts the Department of Education's authority to define 'gainful employment' for student aid eligibility under the Higher Education Act, which concerns federal education policy and student loans rather than private employer wage, hour, or benefit obligations."
s1765-112,,,,,"The bill authorizes grants to healthcare providers and professionals to improve responses to domestic violence and sexual assault; it does not impose obligations on private employers regarding wages, hours, or employee benefit plans."
hr3017-113,,,,,"The bill extends tax credits for renewable energy property construction, which is a general tax incentive unrelated to private employer wage, hour, or benefit obligations."
s745-115,,,,,"The bill reauthorizes a federal reimbursement program for state and local governments to offset incarceration costs for undocumented aliens; it does not regulate private employer wage, hour, or benefit obligations."
hr3486-113,,,,,"The bill primarily addresses federal transportation funding, highway trust fund appropriations, and motor fuel tax rates, which are government fiscal and infrastructure policies rather than regulations of private employer wage, hour, or benefit obligations."
hr6425-111,,,,,"The bill focuses on preventing harassment in higher education institutions and requires policy disclosures and grants for student safety, which does not involve private employer wage, hour, or benefit obligations under FLSA, ERISA, WARN, or FMLA."
hr4904-115,,,,,"The bill concerns administrative procedures for USDA agricultural subsidy programs (Agricultural Risk Coverage and Price Loss Coverage) and does not regulate private employer wage, hour, or benefit obligations."
hr1031-115,,,,,"The bill repeals the Consumer Financial Protection Act and eliminates the CFPB, which regulates consumer financial products and services, not private employer wage, hour, or benefit obligations under FLSA, ERISA, WARN, or FMLA."
s3323-114,,,,,"The bill amends the Foreign Sovereign Immunities Act to define jurisdiction over foreign state corporate affiliates, which is a matter of international law and judicial procedure, not private employer wage, hour, or benefit obligations."
s1139-113,,,,,"The bill authorizes a study of the Hudson River Valley for potential National Park designation, which relates to public lands and natural resources rather than private employer wage, hour, or benefit obligations."
s418-112,,,,,"The bill awards a Congressional Gold Medal to World War II Civil Air Patrol members and does not regulate private employer wage, hour, or benefit obligations."
hr2701-114,,,,,"The bill concerns international trade policy, specifically imposing tariffs on Chinese merchandise to address intellectual property violations, and does not regulate private employer wage, hour, or benefit obligations."
hr423-115,,,,,"The bill addresses consumer fraud and telecommunications regulations regarding caller ID spoofing, which does not involve private employer wage, hour, or benefit obligations."
hr79-115,,,,,"The bill concerns securities law and Regulation D exemptions for private offerings, which does not involve private employer wage, hour, or benefit obligations."
s2292-115,,,,,"The bill prohibits oil and gas leasing in specific areas of the Outer Continental Shelf, which is an environmental and energy regulation matter, not a private employer wage, hour, or benefit obligation."
hr6250-112,,,,,"The bill provides a tax exclusion for Olympic prizes and medals, which is a general individual income tax provision unrelated to private employer wage, hour, or benefit obligations."
s3332-111,,,,,"The bill focuses on border security, National Guard deployment, and law enforcement funding, which are government operations and do not regulate private employer wage, hour, or benefit obligations."
hr4523-113,,,,,"The bill designates a specific highway corridor for inclusion in the National Highway System, which is a transportation infrastructure matter unrelated to private employer wage, hour, or benefit obligations."
hr2180-115,,,,,"The bill regulates the TRICARE health care program for members of the Armed Forces and their dependents, which is a government-administered benefit system, not a private employer obligation."
hr4902-115,,,,,"The bill appropriates funds and provides loans for water infrastructure projects through state revolving funds and federal agencies; it does not regulate private employer wage, hour, or benefit obligations."
