bill_id,category_ids,category_labels,reason
s858-113,,,"The bill addresses state-level waivers for health insurance coverage under the ACA, which is a public policy and insurance regulation matter, rather than imposing obligations or addressing misconduct related to private employer-sponsored benefit plans under ERISA or wage/hour violations."
hr3864-113,,,"The bill focuses on federal grants to states for unemployment compensation demonstration projects and does not regulate private employer obligations regarding wages, hours, or employee benefit plans."
hr825-112,,,"The bill focuses on highway safety infrastructure, traffic barriers, and signage improvements rather than private employer wage, hour, or benefit obligations."
hr780-113,,,"The bill addresses criminal jurisdiction over domestic violence in Indian country and does not regulate private employer wage, hour, or benefit obligations."
hr3736-115,,,"The bill focuses on capital requirements for credit unions regulated by the NCUA, which is a financial regulatory matter unrelated to private employer wage, hour, or benefit obligations."
s2403-115,,,"The bill modifies federal highway funding apportionment formulas for state transportation programs and does not regulate private employer wage, hour, or benefit obligations."
hr97-116,,,"The bill authorizes rewards for information on wildlife trafficking, which is unrelated to private employer wage, hour, or benefit obligations."
s3993-111,,,"The bill focuses on federal land leasing procedures for geothermal energy production and does not regulate private employer wage, hour, or benefit obligations."
hr1762-113,,,"The bill focuses on federal budgeting procedures and appropriations for the U.S. Government, rather than regulating private employer wage, hour, or benefit obligations."
hr2477-112,,,"The bill establishes a medal for distinguished public service awarded by the Department of Veterans Affairs to veterans, which involves government recognition rather than private employer wage, hour, or benefit obligations."
hr5946-111,,,"The bill focuses on funding physical fitness education programs in public schools and does not regulate private employer wage, hour, or benefit obligations."
hr2203-112,,,"The bill establishes a pilot program for veterans to receive healthcare through the Department of Veterans Affairs, which is a government-administered benefit program and does not involve private employer wage, hour, or benefit obligations."
hr5386-113,,,"The bill designates a USPS facility name as a tribute to a military officer, involving no private employer wage, hour, or benefit obligations."
s3016-112,,,"The bill addresses tariff reductions for Triadimefon under the Harmonized Tariff Schedule, which is unrelated to private employer wage, hour, or benefit obligations."
hr4617-114,,,"The bill mandates domestic sourcing for fish in the National School Lunch Act, which concerns government procurement and food assistance policy rather than private employer wage, hour, or benefit obligations."
hr737-115,,,"The bill focuses on educational practices and trauma-informed care within the federally funded Head Start program, rather than regulating private employer wage, hour, or benefit obligations."
hr846-114,,,"The bill addresses discrimination and harassment in public schools, which involves government entities rather than private employer wage, hour, or benefit obligations."
s315-114,,,"The bill provides a personal income tax credit for individuals purchasing hearing aids, which does not regulate private employer wage, hour, or benefit obligations or address corporate misconduct under FLSA, ERISA, or FMLA."
hr582-115,,,"The bill regulates telecommunications equipment configurations for emergency 9-1-1 access and does not address private employer obligations regarding wages, hours, or employee benefits."
hr4774-111,,,"The bill concerns the governance and appointment process for the Board of Regents of the Smithsonian Institution, a federal entity, and does not address private employer wage, hour, or benefit obligations."
s1428-112,,,"The bill focuses on phasing out private military contractors for government security missions and enhancing congressional oversight of federal contracts, rather than regulating private employer wage, hour, or benefit obligations."
hr2753-113,,,"The bill regulates Medicare Advantage plans under the Social Security Act, which involves government-administered health insurance programs rather than private employer obligations for wages, hours, or employer-sponsored benefits under ERISA or FLSA."
hr244-112,,,"The bill regulates state and local government use of federal funds for business relocation incentives, which does not involve private employer wage, hour, or benefit obligations."
hr4504-111,,,"The bill addresses Internet censorship and FCC regulations on search providers, which is unrelated to private employer wage, hour, or benefit obligations."
hr1241-114,,,"The bill addresses the suspension of the federal debt ceiling and national debt limits, which are matters of public finance and government borrowing rather than private employer wage, hour, or benefit obligations."
s1618-112,,,"The bill extends eligibility for government-administered Supplemental Security Income (SSI) benefits to refugees and trafficking victims, which involves public welfare programs rather than private employer wage, hour, or benefit obligations."
s1510-113,,,"The bill focuses on financial auditing and accounting requirements for the Department of Defense, a government agency, and does not regulate private employer wage, hour, or benefit obligations."
hr5368-113,,,"The bill focuses on international affairs, immigration policy, and foreign aid regarding unaccompanied alien children, with no provisions regulating private employer wage, hour, or benefit obligations."
s1899-112,,,"The bill addresses benefits for military personnel killed or wounded in a specific attack, which involves government-administered veterans' compensation rather than private employer wage, hour, or benefit obligations."
s3411-114,,,"The bill regulates FEMA's administrative recovery of disaster assistance payments to state and local governments, which are public entities, and does not address private employer wage, hour, or benefit obligations."
s2943-114,,,"The bill primarily authorizes appropriations and sets policies for the Department of Defense and military personnel, which involves government entities and public-sector compensation rather than private employer wage, hour, or benefit obligations."
s791-115,,,"The bill focuses on intellectual property education and training for small businesses, which does not involve private employer wage, hour, or benefit obligations."
hr4605-111,,,"The bill mandates disclosure of contributions by tax-exempt organizations like business leagues and professional sports leagues, which does not involve private employer obligations regarding wages, hours, or employee benefits."
s2363-112,,,"The bill addresses tariff suspensions for imported goods and does not involve private employer wage, hour, or benefit obligations."
s792-115,1.0,Wage Hour & Benefits,"The bill establishes specific wage requirements and worker protections for private employers utilizing H-2B temporary non-agricultural workers, directly regulating employer obligations regarding compensation and labor standards."
hr5601-111,,,"The bill provides mortgage forbearance and housing assistance to homeowners affected by the Deepwater Horizon oil spill, which does not involve private employer wage, hour, or benefit obligations."
s90-112,,,"The bill establishes a voluntary recognition award administered by the Department of Defense and does not impose new regulatory obligations, enforcement mechanisms, or tax incentives regarding private employer wage, hour, or benefit compliance."
hr1238-115,,,"The bill focuses on Department of Homeland Security coordination for food and agricultural defense against terrorism, involving no private employer wage, hour, or benefit obligations."
hr1128-114,,,"The bill focuses on information security and data privacy within the Department of Veterans Affairs, a federal government agency, and does not regulate private employer wage, hour, or benefit obligations."
hr173-116,,,"The bill focuses on environmental review processes, eminent domain, and public participation for natural gas pipelines regulated by FERC, containing no provisions related to private employer wage, hour, or benefit obligations."
hr6619-112,,,"The bill concerns the conveyance of federal land interests to a municipal government for economic development and does not regulate private employer wage, hour, or benefit obligations."
s1709-112,,,"The bill adjusts interest rates for SBA disaster loans to small businesses and does not regulate private employer wage, hour, or benefit obligations."
hr1054-114,,,"The bill addresses retirement benefits for Members of Congress under federal civil service systems, which involves government employees rather than private-sector employer misconduct."
hr208-116,,,"The bill extends a federal public assistance program (SSI) to a U.S. territory and does not regulate private employer wage, hour, or benefit obligations."
hr4777-111,1.0,Wage Hour & Benefits,"The bill provides tax incentives for private employers to hire and retain workers at specified wage levels, directly influencing employer wage obligations and employment practices."
hr4757-113,,,"The bill modifies tax rules for private activity bonds used by first-time farmers to acquire land and equipment, which does not involve private employer wage, hour, or benefit obligations."
s843-113,,,"The bill restricts ammunition purchases by federal agencies and does not involve private employer wage, hour, or benefit obligations."
hr4307-113,,,"The bill addresses food safety regulations regarding unpasteurized milk and does not involve private employer wage, hour, or benefit obligations."
hr4807-114,,,"The bill addresses federal matching funds for state-administered Medicaid expansion under the Social Security Act, which involves government healthcare programs rather than private employer wage, hour, or benefit obligations."
hr5469-111,,,"The bill addresses mileage reimbursement and vehicle transport allowances for members of the Armed Forces, which are government employees, and thus does not involve private employer wage, hour, or benefit obligations."
hr432-114,,,"The bill regulates SEC registration requirements for investment advisers of small business investment companies and does not address private employer obligations regarding wages, hours, or employee benefits."
hr1745-115,,,"The bill addresses federal budget sequestration and automatic spending cuts under the Balanced Budget and Emergency Deficit Control Act, which concerns government fiscal policy rather than private employer wage, hour, or benefit obligations."
hr1310-114,,,"The bill focuses on campus sexual violence reporting and disciplinary procedures for institutions of higher education, which does not involve private employer wage, hour, or benefit obligations such as minimum wage, overtime, or pension management."
s3725-111,,,"The bill addresses international trade enforcement, specifically antidumping and countervailing duties, and does not regulate private employer wage, hour, or benefit obligations."
hr1703-114,,,"The bill addresses consumer credit reporting protections for minors under the Fair Credit Reporting Act, which does not involve private employer wage, hour, or benefit obligations."
hr6334-115,,,"The bill establishes a coding education demonstration program for high school students under the Department of Education and does not regulate private employer wage, hour, or benefit obligations."
hr3287-115,,,"The bill focuses on calculating carbon scores for legislation to assess greenhouse gas emissions, which is unrelated to private employer wage, hour, or benefit obligations."
s2439-112,,,"The bill addresses tariff reductions on potassium sorbate under the Harmonized Tariff Schedule, which is a matter of international trade policy and does not involve private employer wage, hour, or benefit obligations."
s1258-113,,,"The bill authorizes the posthumous award of the Medal of Honor to a Civil War officer, which is a congressional tribute unrelated to private employer wage, hour, or benefit obligations."
hr2833-115,,,"The bill concerns international arms sales and military policy regarding Israel's qualitative military edge, which does not involve private employer wage, hour, or benefit obligations."
hr747-112,,,"The bill extends a tax-exempt bond program for state and local governments, which does not regulate private employer wage, hour, or benefit obligations."
hr5184-114,,,"The bill addresses tax exemptions for nonresident aliens investing in domestic mutual funds and business development companies, which does not involve private employer wage, hour, or benefit obligations."
hr3971-115,,,"The bill regulates mortgage lending practices and escrow account requirements for financial institutions under the Truth in Lending Act and RESPA, which does not involve private employer wage, hour, or employee benefit obligations."
hr6213-112,,,"The bill regulates federal loan guarantee programs and imposes penalties on government officials, containing no provisions regarding private employer wage, hour, or benefit obligations."
hr3972-113,,,"The bill addresses employment discrimination based on unemployment status, which falls under civil rights and anti-discrimination laws rather than wage, hour, or benefit obligations such as minimum wage, overtime, or ERISA-covered plans."
hr587-114,,,"The bill focuses on federal grants to states for early education programs and teacher qualifications, rather than regulating private employer wage, hour, or benefit obligations under statutes like the FLSA, ERISA, or FMLA."
hr5468-113,,,"The bill designates a USPS facility name and does not regulate private employer wage, hour, or benefit obligations."
s2158-114,,,"The bill repeals a tax credit for renewable energy production and does not address private employer obligations regarding wages, hours, or employee benefits."
s1353-114,,,"The bill addresses judicial jurisdiction and procedural stays for civil actions against the United States government, which does not involve private employer wage, hour, or benefit obligations."
hr4732-113,,,"The bill authorizes federal agencies to establish prize competitions for ocean acidification research and does not regulate private employer wage, hour, or benefit obligations."
s1432-114,,,"The bill mandates a Department of Energy study on recycled carbon fiber technology and its economic impact, which does not involve private employer wage, hour, or benefit obligations."
hr2116-113,,,"The bill modifies the Earned Income Tax Credit, a federal tax benefit for low-to-moderate-income individuals, rather than regulating private employer obligations regarding wages, hours, or employee benefit plans."
hr1780-114,,,"The bill modifies individual income tax credits for dependent care expenses rather than regulating private employer obligations regarding wages, hours, or employer-sponsored benefit plans."
hr5673-114,,,"The bill authorizes federal disaster assistance for contaminated public water systems and does not regulate private employer wage, hour, or benefit obligations."
hr1456-113,,,"The bill focuses on consumer product safety standards for portable fuel containers to prevent child burns, which does not involve private employer wage, hour, or benefit obligations."
hr1383-113,,,"The bill appropriates federal funds for state education programs and does not regulate private employer wage, hour, or benefit obligations."
s1615-112,,,"The bill focuses on regulatory procedures and economic analysis requirements for federal financial agencies, containing no provisions regarding private employer wage, hour, or benefit obligations."
hr1907-113,1.0,Wage Hour & Benefits,"The bill prohibits hospitals (private employers) from retaliating against nurses for refusing assignments that violate staffing ratios or for filing good faith complaints regarding care conditions, which constitutes a whistleblower protection mechanism related to employment rights and working conditions."
s1159-115,,,"The bill addresses discriminatory state and local taxes on motor vehicle rental businesses, which is a matter of tax policy and commercial regulation rather than private employer wage, hour, or benefit obligations."
hr3613-113,,,"The bill adjusts Medicare payment formulas for hospitals, which concerns government reimbursement rates rather than private employer obligations regarding wages, hours, or employee benefit plans."
hr682-114,,,"The bill focuses on withdrawing federal lands from mining and leasing activities to protect watersheds and salmon habitats, containing no provisions related to private employer wage, hour, or benefit obligations."
s3373-111,,,"The bill focuses on environmental protection and public health grants for air quality improvement in specific zones, containing no provisions regarding private employer wage, hour, or benefit obligations."
hr1117-113,,,"The bill regulates political campaign contributions and expenditures by domestic corporations with foreign ownership interests under the Federal Election Campaign Act, which does not involve private employer wage, hour, or benefit obligations."
hr2131-115,,,"The bill exclusively addresses personnel management and discipline policies within the Department of Homeland Security, a federal government agency, and does not regulate private employer wage, hour, or benefit obligations."
s273-113,1.0,Wage Hour & Benefits,"The bill amends ERISA to modify fiduciary definitions for employee stock ownership plans, directly addressing employer obligations regarding retirement benefit plans."
hr4299-114,,,"The bill regulates the classification of health insurance products (excepted benefits) under the Public Health Service Act and does not address private employer obligations regarding wages, overtime, pension funding, or ERISA-mandated benefit plan administration."
hr3771-113,,,"The bill provides income tax deductions for individual charitable contributions for disaster relief and does not regulate private employer wage, hour, or benefit obligations."
s950-113,,,"The bill regulates the transportation and dispensing of controlled substances by veterinarians under the Controlled Substances Act, which does not involve private employer wage, hour, or benefit obligations."
hr5032-114,,,"The bill concerns land use restrictions and water quality compliance for a public park in Virginia, involving no private employer wage, hour, or benefit obligations."
hr2496-115,,,"The bill focuses on U.S. funding obligations to the United Nations and international affairs, involving no private employer wage, hour, or benefit misconduct."
s791-114,,,"The bill focuses on deregulating energy exports, leasing, and permitting processes, and does not address private employer obligations regarding wages, hours, or employee benefits."
s3577-112,,,"The bill addresses human rights and conditions in foreign prisons and detention facilities, which does not involve private employer wage, hour, or benefit obligations."
s1253-113,,,"The bill designates river segments as part of the National Wild and Scenic Rivers System and addresses land management and hydroelectric licensing, containing no provisions related to private employer wage, hour, or benefit obligations."
hr1335-113,,,"The bill regulates mortgage short sale disclosure requirements for Fannie Mae and Freddie Mac, which are government-sponsored enterprises, and does not address private employer wage, hour, or benefit obligations."
hr2417-113,,,"The bill focuses on protecting electric infrastructure from electromagnetic pulse threats and does not address private employer wage, hour, or benefit obligations."
s820-115,,,"The bill designates land within the Arctic National Wildlife Refuge as wilderness, which is a public lands and natural resources issue unrelated to private employer wage, hour, or benefit obligations."
s646-113,,,"The bill establishes a federal endowment for ocean conservation and grants to states and non-profits, containing no provisions regulating private employer wage, hour, or benefit obligations."
hjres109-115,,,"The bill proposes a constitutional amendment for federal budget balancing and does not regulate private employer wage, hour, or benefit obligations."
s1052-116,,,"The bill focuses on authorizing the Department of Energy to develop technologies for extracting rare earth elements from coal, which is an energy and technology initiative unrelated to private employer wage, hour, or benefit obligations."
hr367-112,,,"The bill addresses firearm restrictions near Members of Congress and state/local officials, which is unrelated to private employer wage, hour, or benefit obligations."
s1725-116,,,"The bill modifies Medicare home health assessment protocols for occupational therapists, which concerns federal healthcare program administration rather than private employer wage, hour, or benefit obligations."
hr5640-113,,,"The bill appropriates federal grants for housing programs for individuals with HIV/AIDS and does not regulate private employer wage, hour, or benefit obligations."
hr3052-115,,,"The bill focuses on higher education regulatory reform and student aid eligibility, which does not involve private employer wage, hour, or benefit obligations."
s3111-112,,,"The bill suspends import duties on a specific chemical compound, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
hr2234-112,1.0,Wage Hour & Benefits,"The bill amends the Fair Labor Standards Act to strengthen child labor prohibitions and penalties, which directly regulates private employer obligations regarding the employment of minors under the Wage Hour & Benefits category."
hr4053-114,,,"The bill authorizes grants for the repair of facilities serving veterans, which involves government-funded infrastructure rather than private employer wage, hour, or benefit obligations."
s119-113,,,"The bill concerns eligibility requirements for foreign nongovernmental organizations receiving U.S. foreign aid, which does not involve private employer wage, hour, or benefit obligations."
hr5799-111,,,"The bill focuses on national intermodal transportation planning and infrastructure studies, containing no provisions related to private employer wage, hour, or benefit obligations."
hr4487-112,,,"The bill addresses tariff suspensions for specific polyester fiber imports under the Harmonized Tariff Schedule, which is a matter of foreign trade policy and does not involve private employer wage, hour, or benefit obligations."
hr2962-114,,,"The bill focuses on federal grants to states and educational institutions to waive tuition for students, which does not involve private employer wage, hour, or benefit obligations."
hr4911-112,,,"The bill addresses tariff suspensions for lithium-ion batteries under foreign trade policy and does not regulate private employer wage, hour, or benefit obligations."
hr2782-116,1.0,Wage Hour & Benefits,"The bill modifies the definition of full-time employment for the ACA employer mandate, directly altering the threshold at which private employers are required to provide health benefits to their employees."
hr6674-112,,,"The bill establishes a federal student loan repayment program involving government lending and tax administration, rather than regulating private employer obligations regarding wages, hours, or employee benefit plans."
hr4488-115,,,"The bill addresses immigration status and work authorization for childhood arrivals under the Immigration and Nationality Act, rather than regulating private employer obligations regarding wages, hours, or benefits."
s743-114,,,"The bill addresses veteran status and benefits administered by the Department of Veterans Affairs for reserve component members, which involves government-administered benefits rather than private employer wage, hour, or benefit obligations."
s677-116,,,"The bill addresses federal nutrition assistance programs for U.S. territories and does not regulate private employer wage, hour, or benefit obligations."
s3146-111,,,"The bill provides tax credits to landowners for habitat conservation efforts and does not address private employer obligations regarding wages, hours, or employee benefits."
hr3796-113,,,"The bill focuses on Medicare payment structures for hospitalizations and does not regulate private employer wage, hour, or benefit obligations."
hr5366-111,,,"The bill addresses debarment for violations of the Foreign Corrupt Practices Act, which relates to bribery and public corruption rather than private employer wage, hour, or benefit obligations."
s1756-113,,,"The bill regulates nutritional disclosure requirements for restaurants and retail food establishments, which relates to consumer protection and food labeling rather than private employer wage, hour, or benefit obligations."
hr6657-115,,,"The bill primarily addresses border security and immigration enforcement, and its only labor-related provision amends the FLSA to allow overtime pay for Border Patrol agents, who are federal government employees rather than private-sector employers subject to wage and hour misconduct regulations."
hr1029-112,,,"The bill addresses compensation for survivors of Department of Energy contractor employees under a specific federal program, which involves government-administered benefits rather than private employer wage, hour, or benefit obligations."
hr1841-112,,,"The bill focuses on data security, privacy, and breach notification requirements for businesses, which does not involve private employer obligations regarding wages, hours, or employee benefits."
hr4893-112,,,"The bill addresses tariff suspensions for imported footwear under trade policy, which does not involve private employer wage, hour, or benefit obligations."
hr5558-115,,,"The bill focuses on Medicare reimbursement incentives for hospitals to reduce opioid prescribing, which relates to healthcare delivery and payment policy rather than private employer wage, hour, or employee benefit obligations."
hr4143-112,1.0,Wage Hour & Benefits,"The bill regulates the transfer of excess pension assets to fund retiree health and life insurance benefits, directly addressing employer obligations regarding employee benefit plans under ERISA."
s2226-113,,,"The bill establishes an EPA water efficiency program and provides consumer incentives, containing no provisions regulating private employer wage, hour, or benefit obligations."
s383-114,,,"The bill focuses on federal trust asset management and administrative reforms for Native American affairs, involving no private employer wage, hour, or benefit obligations."
hr3838-112,,,"The bill authorizes federal grants for ports to employ high school students, which is a government-funded youth employment program rather than a regulation of private employer wage, hour, or benefit obligations."
s1960-114,,,"The bill establishes a statute of limitations for SEC civil monetary penalties regarding securities violations, which does not involve private employer wage, hour, or benefit obligations."
s3408-114,,,"The bill focuses on USDA grants for rural broadband infrastructure and does not regulate private employer wage, hour, or benefit obligations."
hr4598-114,1.0,Wage Hour & Benefits,"The bill imposes specific wage obligations on private employers sponsoring H-1B visas, requiring them to pay the greater of the prevailing wage or $110,000, which directly regulates employer wage practices for a specific class of workers."
s2654-114,,,"The bill appropriates funds for disaster relief and environmental monitoring related to fisheries, which does not involve private employer wage, hour, or benefit obligations."
s1445-115,,,"The bill focuses on flood insurance program compliance and community mitigation planning under FEMA, involving no private employer wage, hour, or benefit obligations."
hr3408-112,,,"The bill focuses on oil shale leasing, pipeline permitting, and energy resource development, containing no provisions related to private employer wage, hour, or benefit obligations."
s3448-114,,,"The bill focuses on the disclosure of missing Armed Forces personnel records by government agencies like the National Archives, involving no private employer wage, hour, or benefit obligations."
s2275-113,,,"The bill expands eligibility for federal infrastructure financing under TIFIA for public transit projects and does not regulate private employer wage, hour, or benefit obligations."
hr6613-112,,,"The bill reorganizes federal financial regulatory agencies (SEC and CFTC) and does not address private employer obligations regarding wages, hours, or employee benefits."
hr1086-115,,,"The bill regulates executive agency procedures for relocating public-facing offices and does not address private employer wage, hour, or benefit obligations."
s1446-115,,,"The bill reauthorizes a grant program for historic preservation at Historically Black Colleges and Universities, which involves federal funding for educational institutions rather than regulating private employer wage, hour, or benefit obligations."
s3837-111,,,"The bill restricts the Department of Education's authority over 'gainful employment' regulations for student aid eligibility, which concerns federal education policy rather than private employer wage, hour, or benefit obligations."
s1765-112,,,"The bill focuses on public health grants for training healthcare professionals to respond to domestic violence and sexual assault, rather than regulating private employer wage, hour, or benefit obligations."
hr3017-113,,,"The bill extends tax credits for renewable energy construction and does not regulate private employer wage, hour, or benefit obligations."
s745-115,,,"The bill reauthorizes a federal reimbursement program for state and local governments to cover the incarceration costs of undocumented criminal aliens, which involves government entities rather than private employer wage, hour, or benefit obligations."
hr3486-113,,,"The bill focuses on federal highway funding, motor fuel tax rates, and state authority over transportation programs, containing no provisions related to private employer wage, hour, or benefit obligations."
hr6425-111,,,"The bill focuses on preventing harassment in higher education institutions and does not address private employer obligations regarding wages, overtime, benefits, or leave under statutes like the FLSA, ERISA, or FMLA."
hr4904-115,,,"The bill addresses administrative procedures for USDA agricultural subsidy programs and does not regulate private employer wage, hour, or benefit obligations."
hr1031-115,,,"The bill focuses on repealing the Consumer Financial Protection Act and eliminating the CFPB, which regulates consumer financial products and services rather than private employer wage, hour, or benefit obligations under statutes like the FLSA, ERISA, or FMLA."
s3323-114,,,"The bill addresses foreign sovereign immunity and jurisdiction over state-owned entities, which does not involve private employer wage, hour, or benefit obligations."
s1139-113,,,"The bill authorizes a study of the Hudson River Valley for potential National Park designation, which involves public lands and natural resources rather than private employer wage, hour, or benefit obligations."
s418-112,,,"The bill awards a Congressional Gold Medal to Civil Air Patrol members for military service and does not regulate private employer wage, hour, or benefit obligations."
hr2701-114,,,"The bill addresses international trade tariffs and intellectual property rights violations by China, which does not involve private employer wage, hour, or benefit obligations."
hr423-115,,,"The bill addresses telecommunications fraud and caller ID spoofing, which does not involve private employer obligations regarding wages, hours, or employee benefits."
hr79-115,,,"The bill addresses securities regulations and general solicitation rules for private investment offerings, which does not involve private employer wage, hour, or benefit obligations."
s2292-115,,,"The bill prohibits oil and gas leasing in specific areas of the Outer Continental Shelf and does not address private employer wage, hour, or benefit obligations."
hr6250-112,,,"The bill provides a tax exclusion for Olympic prizes and medals, which does not involve private employer wage, hour, or benefit obligations or misconduct."
s3332-111,,,"The bill focuses on border security, immigration enforcement, and law enforcement funding, containing no provisions related to private employer wage, hour, or benefit obligations."
hr4523-113,,,"The bill designates a specific highway corridor for inclusion in the National Highway System and does not address private employer wage, hour, or benefit obligations."
hr2180-115,,,"The bill exclusively addresses healthcare benefits for members of the Armed Forces and their dependents under the TRICARE program, which is a government-administered benefit system, and does not regulate private employer wage, hour, or benefit obligations."
hr4902-115,,,"The bill focuses on federal loans for state water infrastructure projects and does not regulate private employer wage, hour, or benefit obligations."
s1396-116,,,"The bill modifies tax credit definitions for renewable energy production from municipal solid waste and does not address private employer wage, hour, or benefit obligations."
hr1247-112,,,"The bill reduces appropriations for the Department of Defense, a government agency, and does not regulate private employer wage, hour, or benefit obligations."
hr386-112,,,"The bill addresses criminal penalties for aiming lasers at aircraft, which is a transportation safety and security issue unrelated to private employer wage, hour, or benefit obligations."
hr2170-113,,,"The bill establishes a grant program for foreign language education in public schools and does not regulate private employer wage, hour, or benefit obligations."
s2838-113,,,"The bill focuses on tariff adjustments and research funding for the textile and apparel industry, containing no provisions regarding private employer wage, hour, or benefit obligations."
s1140-113,,,"The bill extends funding for land conservation and natural resource protection programs under the Highlands Conservation Act, which does not involve private employer wage, hour, or benefit obligations."
hr2608-113,,,"This is a private bill providing individual relief to a specific person, which does not regulate private employer wage, hour, or benefit obligations."
hr5590-112,,,"The bill suspends import duties on a specific chemical product, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
s3431-111,,,"The bill regulates ethics and conflict-of-interest rules for federal employees of the Minerals Management Service, which involves government personnel rather than private employer wage, hour, or benefit obligations."
s1339-112,,,"The bill focuses on federal agency transparency and the reporting of non-federal participants in rulemaking, which does not involve private employer wage, hour, or benefit obligations."
hr4124-114,,,"The bill addresses retirement pay for National Guard members, which are government employees, and thus falls under the exclusion for military and public-sector compensation rather than private employer wage or benefit obligations."
s3097-115,,,"The bill focuses on tax compliance reporting for non-employer business income and does not regulate private employer obligations regarding wages, hours, or employee benefits."
s1066-115,,,"The bill addresses consumer credit reporting and student loan rehabilitation under the Fair Credit Reporting Act, which does not involve private employer wage, hour, or benefit obligations such as those covered by FLSA, ERISA, or FMLA."
hr4918-111,,,"The bill addresses congressional redistricting transparency and public participation in state legislative processes, which is unrelated to private employer wage, hour, or benefit obligations."
sjres28-116,,,"The bill concerns congressional oversight of a foreign military sale to the United Arab Emirates and does not involve private employer wage, hour, or benefit obligations."
s195-112,,,"The bill addresses federal matching funds for state-administered child support enforcement programs under the Social Security Act, which does not involve private employer wage, hour, or benefit obligations."
hr1195-114,,,"The bill establishes advisory boards for the Consumer Financial Protection Bureau regarding consumer financial products and small business practices, which does not involve private employer wage, hour, or benefit obligations."
s1427-114,,,"The bill focuses on aligning quality and efficiency measures for Medicare (a federal program) between public and private sectors, rather than regulating private employer obligations regarding wages, hours, or employee benefit plans."
s840-115,,,"The bill establishes a federal student aid program for early college high school students and does not regulate private employer wage, hour, or benefit obligations."
hr6677-112,,,"The bill focuses on housing tax credits and deductions for homeowners and low-income housing developers, which does not involve private employer wage, hour, or employee benefit obligations."
s1084-112,,,"The bill concerns the study of a historical trail for potential inclusion in the National Trails System and addresses private property rights, with no provisions related to private employer wage, hour, or benefit obligations."
hr6506-111,,,"The bill addresses criminal penalties for the unauthorized disclosure of classified intelligence information and does not involve private employer wage, hour, or benefit obligations."
s1187-113,,,"The bill addresses tax exclusions for homeowners regarding forgiven mortgage debt, which does not involve private employer wage, hour, or benefit obligations."
hr595-113,,,"The bill addresses tuition assistance administered by the Department of Veterans Affairs for veterans, which is a government benefit program and does not involve private employer wage, hour, or benefit obligations."
