bill_id,category_id,category_label,reason
hr1584-114,4,Money laundering / financial crime strategy,"The bill addresses fraud offenses involving access devices issued by financial institutions, which falls under the scope of financial crime strategy and anti-money laundering enforcement."
hr1564-113,7,SOX / PCAOB / audit firm oversight,The bill directly amends the Sarbanes-Oxley Act of 2002 and concerns the Public Company Accounting Oversight Board (PCAOB) and regulation of public company auditors.
hr3036-108,4,Money laundering / financial crime strategy,"The bill focuses on appropriations for the Department of Justice, including funding for drug enforcement, crime prevention, and related activities, which falls under the umbrella of financial crime strategy and anti-money laundering enforcement."
hr3179-108,4,Money laundering / financial crime strategy,"The bill focuses on strengthening anti-terrorism investigative tools by amending laws related to bank records, financial privacy, and reporting requirements, which directly aligns with anti-money laundering and financial crime strategy efforts."
s3467-114,8,Investment company / hedge fund / investment adviser regulation,"The bill directly addresses regulation of investment companies under the Investment Company Act of 1940, falling squarely within the scope of investment company regulation."
hr4452-113,16,Corporate nonfinancial / ESG disclosure,"The bill focuses on disclosing information about corporate conduct and enforcement actions, which aligns with the intent of corporate nonfinancial/ESG disclosure legislation by increasing transparency around corporate behavior."
s1659-111,7,SOX / PCAOB / audit firm oversight,"The bill amends securities laws and focuses on penalties related to violations, which aligns with the Sarbanes-Oxley Act's focus on audit and corporate responsibility, and the SEC's oversight role."
hr1472-111,13,TARP oversight and wind-down,"The bill focuses on oversight of the TARP programs, specifically reporting requirements, a waste, fraud, and abuse hotline, and public transparency, which directly aligns with the scope of TARP oversight beyond executive compensation as defined in category 13."
hr742-113,2,"Derivatives, swaps, CFTC regulation","The bill directly addresses swap data reporting requirements and the regulatory authorities (CFTC and SEC) involved in overseeing derivatives, which falls under the scope of derivatives regulation."
hr3890-114,6,Dodd-Frank reform / implementation,The bill directly amends provisions of the Dodd-Frank Wall Street Reform and Consumer Protection Act by exempting certain financial institutions from specific titles within the Act.
s2012-113,4,Money laundering / financial crime strategy,"The bill focuses on regulating controlled substances, specifically anabolic steroids, and includes provisions related to criminal penalties for trafficking and possessing them, which falls under the scope of financial crimes and anti-money laundering enforcement due to the potential for illicit financial activity associated with these substances."
s378-110,7,SOX / PCAOB / audit firm oversight,"The bill focuses on financial disclosure requirements for judges, judicial ethics, and government ethics, all of which fall under the purview of audit firm oversight and related regulations like the Ethics in Government Act, which is closely tied to SOX and PCAOB concerns."
hr3647-106,7,SOX / PCAOB / audit firm oversight,"The bill concerns bank deposits and account transfers, which falls under the broader regulation of financial institutions and their operations, similar to the oversight provided by SOX and the PCAOB regarding financial reporting and auditing practices."
s1656-108,6,Dodd-Frank reform / implementation,"The bill directly addresses the regulation and oversight of Fannie Mae and Freddie Mac, which are central to the implementation and reform of the Dodd-Frank Act's provisions related to housing finance and systemic risk."
s2059-108,8,Investment company / hedge fund / investment adviser regulation,"The bill directly addresses the governance and regulation of mutual funds, which falls under the purview of investment company regulation as defined in category 8."
hr1062-113,7,SOX / PCAOB / audit firm oversight,"The bill focuses on SEC rulemaking procedures, review of existing regulations, and cost-benefit analysis, which directly relates to the oversight of public company auditors and the Sarbanes-Oxley Act's goals of improving corporate governance and financial reporting."
s195-111,13,TARP oversight and wind-down,"The bill focuses on oversight, accountability, and transparency provisions related to emergency economic assistance programs, similar to those initially established under TARP, and establishing oversight bodies to investigate the financial crisis and prevent future occurrences."
hr4771-113,4,Money laundering / financial crime strategy,"The bill addresses the regulation of substances with potential for abuse and misuse, and includes provisions related to preventing financial crimes through proper labeling and tracking of these substances, falling under the scope of financial crime strategy and anti-money laundering efforts."
s1199-112,12,Data breach / identity theft / financial privacy,"The bill focuses on the misuse of Social Security numbers, data security, identity theft prevention, and financial data privacy protections for consumers, which directly aligns with category 12."
hr4278-115,5,Federal Reserve audit / transparency,"The bill directly addresses the operations and asset holdings of the Federal Reserve Board, aiming to increase transparency and potentially reform its governance by limiting its investment options and requiring exchange of assets with the Treasury."
hr1414-116,4,Money laundering / financial crime strategy,"The bill directly addresses the duties of FinCEN to combat financial crimes and protect against terrorism, falling squarely within the scope of financial crime strategy and anti-money laundering enforcement."
s398-107,4,Money laundering / financial crime strategy,"The bill explicitly focuses on combating international money laundering, requiring financial institutions to take special measures for reporting and record-keeping, which directly aligns with anti-money laundering (AML) enforcement and financial crime strategy."
s2402-109,4,Money laundering / financial crime strategy,"The bill explicitly focuses on improving prohibitions on money laundering and terrorist financing, addressing AML enforcement and financial crime strategy."
s630-103,7,SOX / PCAOB / audit firm oversight,"The bill directly addresses audit requirements, independent public accountants, and SEC penalties related to accounting and auditing practices, which falls under the scope of SOX/PCAOB/audit firm oversight."
hr79-115,15,Crowdfunding and small-issuer capital formation,"The bill focuses on easing capital formation for small issuers by clarifying rules around general solicitation in Regulation D offerings, which is directly related to crowdfunding and small-issuer capital formation."
hr3472-105,6,Dodd-Frank reform / implementation,"The bill facilitates the use of electronic authentication techniques by financial institutions, which falls under financial deregulation and implementation of modern technologies within the financial sector, aligning with the broader scope of Dodd-Frank reform and implementation as it seeks to update financial practices."
hr1965-114,7,SOX / PCAOB / audit firm oversight,"The bill concerns SEC reporting requirements and the use of XBRL, which falls under the regulation of public company auditors and financial reporting standards governed by Sarbanes-Oxley and the PCAOB."
hr2308-112,7,SOX / PCAOB / audit firm oversight,"The bill focuses on SEC rulemaking procedures, regulatory review, and cost-benefit analysis, which directly relates to the oversight of public company auditors and the Sarbanes-Oxley Act's goals of improving corporate governance and financial reporting."
hr833-108,18,Consumer / predatory mortgage lending,"The bill focuses on regulating the high-cost mortgage market, establishing a consumer mortgage protection board, and setting standards for mortgage brokers, all of which fall under consumer and predatory mortgage lending protections."
hr4248-111,4,Money laundering / financial crime strategy,"The bill focuses on the use of coins and bullion as currency and prohibits taxation on them, which relates to financial crimes and potentially money laundering/financial crime strategy due to the implications for tracking and regulating monetary instruments."
hr4252-113,9,Banking capital requirements / Basel III,The bill directly addresses bank capital requirements by authorizing mutual capital certificates to satisfy Tier 1 capital requirements and discusses capital ratios and compliance with Federal Reserve regulations.
hr1242-111,13,TARP oversight and wind-down,"The bill focuses on additional monitoring, accountability, and oversight of the Troubled Asset Relief Program (TARP), which falls under TARP oversight beyond executive compensation as described in category 13."
s3048-112,9,Banking capital requirements / Basel III,"The bill focuses heavily on bank capital requirements, leverage ratios, and asset limits, all of which fall under the scope of Basel III implementation and banking capital regulations."
hr1466-114,4,Money laundering / financial crime strategy,"The bill focuses on curtailing surveillance powers and restricting the collection of information, which directly relates to financial crime strategy by limiting the government's ability to access data potentially used in investigations of fraud offenses and financial crimes."
hr4745-103,2,"Derivatives, swaps, CFTC regulation","The bill explicitly focuses on the supervision and regulation of derivatives activities, including registration requirements and SEC rulemaking authority, which falls under the scope of derivatives regulation and CFTC regulation."
s1821-111,4,Money laundering / financial crime strategy,"The bill focuses on elder abuse prevention and prosecution, which directly relates to financial crimes targeting seniors and improving anti-money laundering enforcement through investigation and victim support programs."
s3372-112,4,Money laundering / financial crime strategy,"The bill focuses on fraud offenses and financial crimes related to falsely representing military service to obtain tangible benefits or personal gain, which falls under the scope of anti-money laundering and financial crime strategy."
hr4081-115,12,Data breach / identity theft / financial privacy,"The bill focuses on data breach notification, identity theft prevention, and financial data privacy protections for consumers, directly aligning with the description of category 12."
s1895-107,8,Investment company / hedge fund / investment adviser regulation,"The bill directly regulates investment advisers and their disclosures regarding ties to companies they analyze, falling under the scope of investment adviser regulation."
hr7260-110,5,Federal Reserve audit / transparency,"The bill focuses on increasing the transparency of the Federal Reserve System through statistical reporting, audits, and public accessibility of research, directly aligning with the goals of Federal Reserve audit and transparency legislation."
s639-113,12,Data breach / identity theft / financial privacy,"The bill focuses on the privacy of geolocation information, data breach concerns related to its interception and use, and establishes civil liabilities for violations, all falling under the scope of data breach/identity theft/financial privacy protections for consumers."
hr4353-105,7,SOX / PCAOB / audit firm oversight,"The bill revises the Securities Exchange Act of 1934 and addresses securities fraud, falling under the purview of securities regulation and therefore aligning with the focus of SOX, PCAOB, and audit firm oversight."
hr2295-113,9,Banking capital requirements / Basel III,"The bill directly addresses bank capital requirements and the implementation of Basel III standards, focusing on the impact of these regulations on financial institutions."
hr2873-111,7,SOX / PCAOB / audit firm oversight,"The bill focuses on enhancing the SEC's enforcement capabilities through nationwide subpoena power, which directly relates to the oversight of public company auditors and the enforcement of securities laws, falling under the purview of SOX, PCAOB, and audit firm oversight."
hr2919-116,7,SOX / PCAOB / audit firm oversight,"The bill concerns investment research and the Securities and Exchange Commission (SEC), which falls under the purview of securities regulation and oversight, aligning with the focus of SOX, PCAOB, and audit firm oversight as it relates to the quality and availability of financial information."
hr2610-105,4,Money laundering / financial crime strategy,"The bill focuses on national drug control policy, which inherently involves strategies to combat drug traffic and abuse, and therefore falls under financial crime strategy as it addresses illicit financial flows related to drug activities."
hr3557-114,6,Dodd-Frank reform / implementation,"The bill directly amends the Financial Stability Act of 2010, which is the legislation commonly known as the Dodd-Frank Act, by addressing the Financial Stability Oversight Council (FSOC) and its operations, thus falling under Dodd-Frank reform/implementation."
s619-116,15,Crowdfunding and small-issuer capital formation,"The bill focuses on enabling investment authority for Federal Home Loan Banks to support rural infrastructure development through cooperatives, which aligns with easing capital formation for smaller entities and falls under the scope of the JOBS Act-related legislation."
s1276-111,8,Investment company / hedge fund / investment adviser regulation,"The bill directly regulates hedge funds, private equity funds, and venture capital funds by requiring them to register with the SEC, falling under the scope of investment company/hedge fund/investment adviser regulation."
hr1496-112,5,Federal Reserve audit / transparency,"The bill explicitly concerns auditing the Federal Reserve System and reporting those audits to Congress, directly aligning with the 'Federal Reserve audit / transparency' category."
hr296-114,4,Money laundering / financial crime strategy,"The bill focuses on enhancing protections and increasing restitution for victims of human trafficking, which directly relates to anti-money laundering enforcement and financial crime strategy as trafficking often involves financial exploitation."
hr5042-111,7,SOX / PCAOB / audit firm oversight,"The bill relates to securities violations and private civil actions, which falls under the purview of the Sarbanes-Oxley Act and PCAOB oversight as it concerns fraud offenses and financial crimes in the context of public company securities."
hr4432-111,16,Corporate nonfinancial / ESG disclosure,"The bill mandates disclosure of expenditures made to influence public opinion, which falls under the scope of corporate nonfinancial disclosure, specifically relating to political spending and transparency."
s1682-111,2,"Derivatives, swaps, CFTC regulation","The bill explicitly focuses on regulating swaps and derivatives markets and granting the CFTC enforcement powers, which directly falls under the scope of derivatives regulation."
hr5125-111,13,TARP oversight and wind-down,"The bill directly relates to the oversight and wind-down of the TARP program by specifying the use of TARP profits to address losses incurred by local governments due to the Lehman Brothers bankruptcy, which was a key event addressed by TARP."
s1184-108,0,,"The bill focuses on historical asset recovery and remembrance related to the Holocaust, and does not directly address any of the financial regulatory areas covered by the provided categories."
hr2441-106,7,SOX / PCAOB / audit firm oversight,"The bill concerns fees related to securities transactions and oversight of the SEC, which falls under the broader scope of securities regulation and audit firm oversight as it impacts the financial reporting ecosystem."
s431-111,3,Executive compensation at financial firms / TARP,"The bill focuses on curbing excessive executive compensation at firms receiving TARP funds, which directly aligns with the description of Category 3: Executive compensation at financial firms / TARP."
hr1151-105,7,SOX / PCAOB / audit firm oversight,"The bill focuses on accounting principles for credit unions, independent audits, and audit requirements, all of which fall under the purview of SOX, PCAOB, and audit firm oversight."
hr5424-114,8,Investment company / hedge fund / investment adviser regulation,"The bill directly amends the Investment Advisers Act of 1940 and directs the SEC to modernize requirements relating to investment advisers, specifically focusing on private equity firms and private investment funds, which falls under the regulation of investment advisers."
hr1713-103,6,Dodd-Frank reform / implementation,"The bill explicitly addresses the restructuring of agencies involved in resolving failed depository institutions and transferring their functions, which falls under the scope of Dodd-Frank reform and implementation as it relates to financial institution resolution and the aftermath of the Savings and Loan crisis that prompted the original legislation."
hr318-115,7,SOX / PCAOB / audit firm oversight,"The bill focuses on accounting principles and standards, requiring all transactions to be shown on balance sheets, which directly relates to the Sarbanes-Oxley Act's focus on accounting and audit firm oversight."
hr3054-114,10,Glass-Steagall / bank-securities separation,"The bill explicitly aims to reinstate Glass-Steagall Act protections, separating commercial banking from securities and other financial activities, which directly falls under the category of bank-securities separation."
hr2451-112,10,Glass-Steagall / bank-securities separation,"The bill explicitly aims to restore provisions of the Glass-Steagall Act, which concerned the separation of commercial and investment banking activities."
s202-112,5,Federal Reserve audit / transparency,"The bill explicitly calls for a full audit of the Federal Reserve System and repeals limitations on such an audit, directly aligning with the focus of Federal Reserve audit and transparency legislation."
s972-108,14,Insurance regulation,"The bill directly addresses insurance companies, Holocaust era insurance policies, and state regulation of insurance business, fitting the definition of Insurance regulation."
hr3931-110,7,SOX / PCAOB / audit firm oversight,"The bill focuses on legal ethics, attorney fees, and oversight related to securities litigation, which directly aligns with the Sarbanes-Oxley Act's goals of improving corporate governance and accountability through regulation of public company auditors and legal practices."
s366-115,6,Dodd-Frank reform / implementation,"The bill focuses on tailoring regulations and reviewing actions taken since 2010, which directly relates to the implementation and potential reform of the Dodd-Frank Act."
hr4636-109,6,Dodd-Frank reform / implementation,"The bill enacts technical and conforming amendments to implement the Federal Deposit Insurance Reform Act of 2005, which suggests it's related to changes and updates following a major financial reform act, fitting the description of Dodd-Frank reform/implementation even though it's an older reform."
hr5519-110,9,Banking capital requirements / Basel III,"The bill addresses bank capital limitations, investment limits, and lending practices within credit unions, which directly relates to banking capital requirements and financial stability."
s1659-115,18,Consumer / predatory mortgage lending,"The bill directly addresses mortgage lending practices and establishes restrictions on interest rates for consumer credit transactions, aligning with the focus of consumer and predatory mortgage lending protections."
s2716-114,7,SOX / PCAOB / audit firm oversight,"The bill concerns SEC industry guides and regulations related to disclosures by companies in the oil and gas and mining industries, which falls under the purview of securities regulation and audit oversight, similar to the Sarbanes-Oxley Act's focus on accurate financial reporting."
s395-115,12,Data breach / identity theft / financial privacy,"The bill focuses on the privacy of geolocation information, which falls under financial data privacy protections for consumers as it relates to tracking and potential misuse of personal data."
s1743-107,14,Insurance regulation,"The bill explicitly focuses on creating a reinsurance mechanism for terrorism insurance, directly addressing insurance markets and related regulations."
hr5525-107,19,Corporate bankruptcy: employee and retiree protections,"The bill explicitly focuses on protecting employees and retirees in corporate bankruptcy proceedings, addressing wages, benefits, pensions, and insurance, which directly aligns with category 19."
hr97-114,19,Corporate bankruptcy: employee and retiree protections,"The bill explicitly focuses on improving protections for employees and retirees in business bankruptcies, covering wages, benefits, severance pay, and pension claims, which directly aligns with category 19's description of protecting employees and retirees in corporate bankruptcy proceedings."
s462-112,4,Money laundering / financial crime strategy,"The bill focuses on preventing, investigating, and prosecuting elder abuse and exploitation, which falls under the umbrella of financial crime strategy and anti-money laundering efforts as elder abuse often involves financial victimization."
hr4362-112,12,Data breach / identity theft / financial privacy,"The bill focuses on criminal prosecutions for identity theft, defining 'means of identification' and addressing tax return identity theft, which falls under data breach and identity theft protections for consumers."
hr6066-110,16,Corporate nonfinancial / ESG disclosure,"The bill explicitly mandates the disclosure of non-financial information (payments to foreign governments for resource extraction) by public companies, falling directly under the scope of corporate nonfinancial/ESG disclosure legislation."
hr1981-112,4,Money laundering / financial crime strategy,"The bill focuses on prohibiting financial transactions that facilitate access to child pornography and adds these offenses as predicate acts for money laundering, directly relating to financial crime strategy and enforcement."
s3652-110,6,Dodd-Frank reform / implementation,"The bill focuses on a comprehensive review and reform of the financial regulatory structure, including investigations into various financial markets and institutions, which directly aligns with the goals of the Dodd-Frank Act and its implementation."
s392-111,18,Consumer / predatory mortgage lending,"The bill focuses on consumer credit, specifically credit card practices, interest rates, and protections against unfair lending practices, which directly aligns with the Consumer / predatory mortgage lending category."
hr1756-105,4,Money laundering / financial crime strategy,"The bill explicitly focuses on developing a national strategy to combat money laundering and related financial crimes, including enforcement, prevention, and coordination of financial crime strategy."
hr3758-115,4,Money laundering / financial crime strategy,"The bill focuses on reporting suspected financial exploitation of senior citizens, which directly relates to financial crime strategy and anti-money laundering efforts, as exploitation often involves financial fraud."
hr4638-114,15,Crowdfunding and small-issuer capital formation,"The bill focuses on creating 'venture exchanges' to promote capital formation for small and emerging growth companies, which directly aligns with the goals of equity crowdfunding and easing capital access as described in category 15."
hr5032-111,7,SOX / PCAOB / audit firm oversight,"The bill amends the Securities Investor Protection Act and concerns the duties of a trustee in liquidation, which directly relates to audit oversight and the protection of investors, aligning with the focus of SOX and PCAOB regulations."
s2169-109,12,Data breach / identity theft / financial privacy,"The bill focuses on data security, breach notification, and identity theft prevention related to financial data, which directly aligns with the description of Category 12: Data breach / identity theft / financial privacy."
s2200-113,18,Consumer / predatory mortgage lending,"The bill focuses on consumer protections related to debit card transactions and liability for unauthorized use, which falls under the scope of consumer and predatory mortgage lending protections as it addresses financial transactions and potential fraud affecting consumers."
hr5789-109,7,SOX / PCAOB / audit firm oversight,"The bill concerns government securities and surety bonds, which fall under the broader scope of financial instruments and audit-related practices, aligning with the focus of SOX/PCAOB/audit firm oversight as it relates to financial reporting and security regulations."
s746-112,6,Dodd-Frank reform / implementation,"The bill explicitly aims to repeal provisions of the Dodd-Frank Wall Street Reform and Consumer Protection Act, directly falling under the scope of Dodd-Frank reform/implementation legislation."
hr5421-113,20,Financial institution resolution / SIFI bankruptcy,"The bill focuses on the resolution of insolvent financial institutions in bankruptcy, specifically establishing a new subchapter V for their liquidation, reorganization, or recapitalization, which directly relates to financial institution resolution and the Orderly Liquidation Authority (OLA) framework."
hr1387-116,4,Money laundering / financial crime strategy,"The bill explicitly focuses on combating the financial networks of transnational organized criminals, which directly aligns with anti-money laundering (AML) enforcement and financial crime strategy."
hr766-114,4,Money laundering / financial crime strategy,"The bill focuses on requirements for federal banking agencies when requesting account terminations, particularly related to national security and terrorist financing concerns, which falls under the scope of financial crime strategy and anti-money laundering enforcement."
hr677-113,6,Dodd-Frank reform / implementation,The bill directly amends provisions of the Dodd-Frank Wall Street Reform and Consumer Protection Act by exempting inter-affiliate swaps from certain regulatory requirements established by the Act.
hr394-112,7,SOX / PCAOB / audit firm oversight,"The bill focuses on clarifying federal court jurisdiction and venue, which includes rules related to corporate citizenship and removal of cases, impacting how companies are litigated in federal courts and thus touches on aspects of audit and corporate procedure."
hr1312-113,12,Data breach / identity theft / financial privacy,"The bill focuses on the privacy of geolocation information, data breach concerns related to its interception and use, and establishes civil liabilities for violations, all falling under the scope of data breach/identity theft/financial privacy protections for consumers."
hr5311-114,11,Shareholder rights / corporate governance,"The bill focuses on proxy advisory firms, which directly impacts corporate governance practices like shareholder rights and the proxy voting process, aligning with category 11's description of shareholder rights and corporate governance."
hr711-111,8,Investment company / hedge fund / investment adviser regulation,"The bill directly addresses the regulation of investment advisers, specifically hedge fund advisers, and modifies requirements under the Investment Advisers Act of 1940, which falls under the scope of investment company regulation."
s848-113,7,SOX / PCAOB / audit firm oversight,"The bill directly relates to the Sarbanes-Oxley Act and the Public Company Accounting Oversight Board (PCAOB), focusing on the transparency of PCAOB disciplinary proceedings and audit firm oversight."
hr3661-103,7,SOX / PCAOB / audit firm oversight,"The bill focuses on due process protections for bank directors and officers facing civil actions, relating to liability and potentially impacting financial statement reviews, which aligns with the scope of SOX, PCAOB, and audit firm oversight."
hr1909-111,7,SOX / PCAOB / audit firm oversight,"The bill concerns accounting standards (mark-to-market accounting) and directs the SEC to suspend their application, which falls under the purview of accounting oversight and regulation related to the Sarbanes-Oxley Act and PCAOB responsibilities."
s1907-113,6,Dodd-Frank reform / implementation,"The bill amends the Bank Holding Company Act, specifically relating to the Volcker Rule which was a key provision of the Dodd-Frank Act, indicating it's directly related to Dodd-Frank reform and implementation."
hr1116-115,6,Dodd-Frank reform / implementation,"The bill focuses on tailoring regulatory actions, which directly relates to the implementation and potential reform of existing financial regulations like those established by the Dodd-Frank Act."
hr2141-114,14,Insurance regulation,"The bill explicitly focuses on insurance industry regulation, international insurance standards, and policyholder protection, directly aligning with the scope of Category 14."
hr1923-112,4,Money laundering / financial crime strategy,"The bill addresses fraud offenses and financial crimes, specifically prohibiting undisclosed self-dealing by public officials, which falls under the broader scope of financial crime strategy and enforcement."
s2310-110,14,Insurance regulation,"The bill directly addresses insurance markets, specifically catastrophe insurance, reinsurance, and the establishment of a national homeowners' insurance stabilization program."
hr1508-110,7,SOX / PCAOB / audit firm oversight,"The bill directly addresses the Sarbanes-Oxley Act of 2002, specifically section 404 related to internal control assessments and auditor attestation, and concerns PCAOB oversight of audit firm practices."
hr5758-113,6,Dodd-Frank reform / implementation,"The bill amends the Financial Institutions Reform, Recovery, and Enforcement Act of 1989 and addresses regulatory procedures related to bank account terminations, which falls under the broader scope of Dodd-Frank reform and implementation as it concerns financial institution regulation."
s648-104,6,Dodd-Frank reform / implementation,"The bill amends the Federal Deposit Insurance Corporation Act, which is a core component of the Dodd-Frank Act's framework for resolving failing financial institutions and managing bank failures, thus representing Dodd-Frank reform/implementation."
hr1982-114,7,SOX / PCAOB / audit firm oversight,"The bill amends the Securities Investor Protection Act, deals with trustee appointments, and focuses on accurate record-keeping and financial reporting, all of which fall under the purview of accounting and auditing regulations and the oversight of the PCAOB and SOX."
s2030-112,18,Consumer / predatory mortgage lending,"The bill focuses on consumer protections related to prepaid cards, which are a form of consumer credit and involve financial transactions, aligning with the focus on predatory mortgage lending and consumer financial protection."
s447-111,2,"Derivatives, swaps, CFTC regulation","The bill directly addresses regulation of commodities markets, specifically energy and agricultural commodities, and focuses on the Commodity Futures Trading Commission (CFTC) and its regulatory authority over derivatives and swaps trading practices, including clearing, reporting, and position limits."
hr4151-105,12,Data breach / identity theft / financial privacy,"The bill focuses on identity theft, unlawful use of identification, data breach notification procedures through the FTC, and protection of individuals whose identities have been stolen, all of which fall under data breach/identity theft/financial privacy concerns."
hr6312-110,6,Dodd-Frank reform / implementation,"The bill focuses on regulatory relief for credit unions, banks, and thrifts, including amendments to existing financial laws and adjustments to lending and investment limits, which falls under the scope of Dodd-Frank reform and implementation as it addresses financial sector regulations."
s2829-113,6,Dodd-Frank reform / implementation,"The bill focuses on regulatory review across multiple financial agencies, which is a common aspect of Dodd-Frank implementation and reform efforts to ensure consistency and avoid duplication of regulations established under the Act."
hr1954-114,2,"Derivatives, swaps, CFTC regulation","The bill directly addresses regulations related to commodity pools and the Commodity Futures Trading Commission (CFTC), specifically focusing on exemptions for general solicitation, which falls under the scope of derivatives and CFTC regulation."
hr1116-113,11,Shareholder rights / corporate governance,"The bill directly addresses shareholder rights by requiring a majority vote for expenditures influencing public opinion and establishes liability for officers and directors, aligning with corporate governance principles and shareholder control."
hr1550-114,6,Dodd-Frank reform / implementation,"The bill directly amends the Financial Stability Act of 2010 (Dodd-Frank Act) to improve the transparency of the Financial Stability Oversight Council (FSOC) and the SIFI designation process, which falls under Dodd-Frank reform and implementation."
s1551-111,7,SOX / PCAOB / audit firm oversight,"The bill concerns liability for violations of the Securities Exchange Act of 1934, which falls under the purview of SOX, PCAOB, and audit firm oversight as it relates to the accuracy and legality of public company financial reporting and the responsibilities of those assisting in its creation."
s420-107,19,Corporate bankruptcy: employee and retiree protections,"The bill focuses heavily on amendments to bankruptcy law, specifically addressing protections for debtors and their families, including provisions related to employee and retiree considerations, and the impact of bankruptcy on individuals facing financial hardship, which aligns with the focus of category 19."
s2168-110,12,Data breach / identity theft / financial privacy,"The bill focuses on identity theft crimes, data breach remediation, and restitution to victims, all of which fall under the scope of data breach/identity theft/financial privacy legislation."
hr4269-105,7,SOX / PCAOB / audit firm oversight,"The bill amends the Securities Exchange Act of 1934, which falls under the purview of securities regulation and oversight, closely aligning with the focus of SOX, PCAOB, and audit firm oversight as it concerns public company financial reporting and regulation."
hr3806-110,4,Money laundering / financial crime strategy,"The bill addresses financial statements as part of crimes affecting national security and increases penalties for thefts of classified financial records, falling under the scope of financial crime strategy and enforcement."
s2544-114,4,Money laundering / financial crime strategy,"The bill addresses firearms trafficking, which is considered a financial crime and involves potential money laundering or the use of illegally obtained funds to purchase firearms."
hr6069-115,4,Money laundering / financial crime strategy,"The bill focuses on investigating the use of virtual currencies and online marketplaces for financial crimes, specifically sex and drug trafficking, which directly relates to anti-money laundering and financial crime strategy."
s1854-116,7,SOX / PCAOB / audit firm oversight,"The bill focuses on increasing penalties for securities law violations and expands penalties related to SEC actions, which directly relates to the enforcement of securities regulations and oversight of public company auditors (PCAOB) under SOX."
hr5999-111,6,Dodd-Frank reform / implementation,The bill directly addresses the Dodd-Frank Wall Street Reform and Consumer Protection Act by attempting to repeal a provision establishing the Office of Financial Research.
s576-106,6,Dodd-Frank reform / implementation,"The bill explicitly aims for 'financial regulatory reform' and streamlines actions of financial regulatory agencies, indicating a focus on amending and potentially implementing changes to existing financial regulations, which aligns with the scope of Dodd-Frank reform/implementation even though it predates Dodd-Frank, it is still a broad regulatory reform bill."
hr68-104,12,Data breach / identity theft / financial privacy,"The bill concerns the disclosure of consumer financial information to the FBI, which implicates financial data privacy protections for consumers, even though it's for counterintelligence purposes."
hr3722-114,4,Money laundering / financial crime strategy,"The bill focuses on mental health programs within the criminal justice system, including grants for related law enforcement and corrections programs, and aims to minimize criminal justice involvement for individuals with mental illness, which falls under financial crime strategy due to the potential for individuals with mental health issues to be involved in financial crimes."
