bill_id,category_ids,category_labels,bill_type,reason
s315-114,,,,"The bill provides a personal income tax credit for individuals purchasing hearing aids, which is a general tax or family policy measure unrelated to private employer wage, hour, or benefit obligations."
hr582-115,,,,"The bill regulates telecommunications equipment configuration for emergency 9-1-1 access and does not address private employer wage, hour, or benefit obligations."
hr4774-111,,,,"The bill revises the composition and appointment process of the Board of Regents of the Smithsonian Institution, which is a government entity, and does not regulate private employer wage, hour, or benefit obligations."
s1428-112,,,,"The bill focuses on phasing out private military contractors for government security missions and increasing congressional oversight of federal contracts, rather than regulating private employer wage, hour, or benefit obligations."
hr2753-113,,,,"The bill primarily addresses Medicare Advantage plan enrollment rules, risk adjustment, and rating systems under the Social Security Act, which are government reimbursement and program administration issues rather than private employer wage, hour, or benefit obligations."
hr244-112,,,,"The bill regulates the use of federal stimulus and disaster relief funds by states and political subdivisions for business relocation incentives, rather than imposing wage, hour, or benefit obligations on private non-governmental employers."
hr4504-111,,,,"The bill addresses Internet censorship and FCC regulations on search providers, which is unrelated to private employer wage, hour, or benefit obligations."
hr1241-114,,,,"The bill addresses the suspension of the federal debt ceiling, which is a matter of public finance and government borrowing authority, not private employer wage, hour, or benefit obligations."
s1618-112,,,,"The bill extends eligibility for Supplemental Security Income (SSI), which is a federal public assistance program, not a private employer wage, hour, or benefit obligation."
s1510-113,,,,"The bill focuses on Department of Defense financial auditing, appropriations, and internal management reforms, which are government administrative matters and do not regulate private employer wage, hour, or benefit obligations."
hr5368-113,,,,"The bill focuses on international affairs, foreign aid, and immigration policy regarding unaccompanied alien children from Central America, and does not regulate private employer wage, hour, or benefit obligations."
s1899-112,,,,"The bill addresses benefits for military personnel killed or wounded in a specific attack, which falls under government-administered veterans' compensation and military pay, not private employer wage, hour, or benefit obligations."
s3411-114,,,,"The bill regulates FEMA's administrative recovery of disaster assistance payments to state and local governments, which are public entities, and does not impose obligations on private non-governmental employers regarding wages, hours, or benefits."
s2943-114,,,,"The bill is a National Defense Authorization Act that primarily addresses military personnel compensation, DoD appropriations, and government employee benefits, which are explicitly excluded as they involve governmental entities rather than private employer misconduct."
s791-115,,,,"The bill focuses on intellectual property education and training for small businesses, which does not involve private employer wage, hour, or benefit obligations."
hr4605-111,,,,"The bill mandates disclosure of contributions by tax-exempt organizations (such as business leagues and chambers of commerce) and does not regulate private employer wage, hour, or benefit obligations."
s2363-112,,,,"The bill suspends tariffs on handheld food blenders, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
s792-115,1.0,Wage Hour & Benefits,enforcement,"The bill establishes specific wage, housing, and recruitment obligations for private employers utilizing H-2B visas, directly regulating private employer conduct regarding worker compensation and conditions."
hr5601-111,,,,"The bill provides relief to homeowners with FHA-insured mortgages affected by the Deepwater Horizon oil spill, focusing on housing finance and disaster recovery rather than private employer wage, hour, or benefit obligations."
s90-112,,,,"The bill establishes a voluntary recognition award administered by the Department of Defense for non-federal employers, rather than imposing regulatory obligations, enforcement mechanisms, or tax credits related to private employer wage, hour, or benefit misconduct."
hr1238-115,,,,"The bill focuses on Department of Homeland Security coordination for food and agricultural defense against terrorism, which does not involve private employer wage, hour, or benefit obligations."
hr1128-114,,,,"The bill focuses on information security and data privacy within the Department of Veterans Affairs, a government agency, and does not regulate private employer wage, hour, or benefit obligations."
hr173-116,,,,"The bill regulates environmental review processes and eminent domain for natural gas pipelines under the Federal Energy Regulatory Commission, which does not involve private employer wage, hour, or benefit obligations."
hr6619-112,,,,"The bill concerns the conveyance of federal land to a city for economic development and does not regulate private employer wage, hour, or benefit obligations."
s1709-112,,,,"The bill adjusts interest rates for SBA disaster loans, which is a matter of government lending and disaster relief, not private employer wage, hour, or benefit obligations."
hr1054-114,,,,"The bill addresses retirement benefits for Members of Congress under the Civil Service Retirement System and Federal Employees Retirement System, which are public-sector entities; therefore, it does not involve non-governmental employer misconduct."
hr208-116,,,,"The bill extends the federal Supplemental Security Income (SSI) program to Guam, which is a public assistance program administered by the government, not a regulation of private employer wage, hour, or benefit obligations."
hr4777-111,,,,"The bill provides a general hiring tax credit and payroll tax exemption to incentivize job creation, which is explicitly excluded as it incentivizes hiring decisions rather than regulating private employer wage, hour, or benefit compliance obligations."
hr4757-113,,,,"The bill amends private activity bond rules for first-time farmers, which is a tax provision related to agricultural financing and does not regulate private employer wage, hour, or benefit obligations."
s843-113,,,,"The bill regulates federal agency ammunition procurement and does not impose any obligations on private employers regarding wages, hours, or benefits."
hr4307-113,,,,"The bill regulates the interstate traffic of unpasteurized milk for food safety purposes and does not address private employer wage, hour, or benefit obligations."
hr4807-114,,,,"The bill adjusts federal matching rates for Medicaid expansion under the Social Security Act, which is a government benefit program and does not regulate private employer wage, hour, or benefit obligations."
hr5469-111,,,,"The bill adjusts mileage reimbursement rates and vehicle transport allowances for members of the Armed Forces, which are government employees, not private non-governmental employers; therefore, it does not involve private employer wage, hour, or benefit obligations."
hr432-114,,,,"The bill regulates investment advisers and small business investment companies under the Investment Advisers Act of 1940, focusing on SEC registration and reporting requirements rather than private employer wage, hour, or benefit obligations."
hr1745-115,,,,"The bill addresses federal budget sequestration and deficit reduction mechanisms, which are matters of public finance and government spending, not private employer wage, hour, or benefit obligations."
hr1310-114,,,,"The bill regulates institutions of higher education regarding campus sexual violence reporting and disciplinary procedures under the Higher Education Act and Title IX, which does not involve private employer wage, hour, or benefit obligations such as FLSA, WARN, ERISA, or FMLA compliance."
s3725-111,,,,"The bill addresses international trade enforcement, specifically antidumping and countervailing duties, and does not regulate private employer wage, hour, or benefit obligations."
hr1703-114,,,,"The bill regulates consumer reporting agencies regarding credit reports for minors and identity theft protection, which does not involve private employer wage, hour, or benefit obligations."
hr6334-115,,,,"The bill establishes a coding education demonstration program for high school students under the Department of Education, which does not involve private employer wage, hour, or benefit obligations."
hr3287-115,,,,"The bill mandates carbon scoring by the Congressional Budget Office for legislative transparency regarding greenhouse gas emissions, which is unrelated to private employer wage, hour, or benefit obligations."
s2439-112,,,,"The bill addresses tariff reductions on potassium sorbate under the Harmonized Tariff Schedule, which is a matter of foreign trade policy and does not regulate private employer wage, hour, or benefit obligations."
s1258-113,,,,"The bill authorizes the posthumous award of the Medal of Honor to a Civil War officer, which is a congressional tribute related to military personnel and does not involve private employer wage, hour, or benefit obligations."
hr2833-115,,,,"The bill concerns international affairs, arms exports, and military assessments regarding Israel's qualitative military edge, with no relation to private employer wage, hour, or benefit obligations."
hr747-112,,,,"The bill extends a tax program for state and local government bond issuers, which does not regulate private employer wage, hour, or benefit obligations."
hr5184-114,,,,"The bill addresses tax exemptions for nonresident aliens investing in domestic mutual funds and business development companies, which is a matter of international taxation and financial services regulation, not private employer wage, hour, or benefit obligations."
hr3971-115,,,,"The bill regulates mortgage lending practices and escrow account requirements for financial institutions under the Truth in Lending Act and RESPA, which are consumer credit and banking regulations, not private employer wage, hour, or benefit obligations."
hr6213-112,,,,"The bill regulates federal loan guarantee programs and imposes penalties on federal officials for violations of energy policy statutes; it does not address private employer wage, hour, or benefit obligations."
hr3972-113,,,,"The bill addresses employment discrimination based on unemployment status, which falls under civil rights and anti-discrimination laws rather than wage, hour, or benefit obligations such as minimum wage, overtime, pension management, or leave retaliation."
hr587-114,,,,"The bill provides federal grants to states to improve early education programs and teacher qualifications, which constitutes public education funding rather than regulation of private employer wage, hour, or benefit obligations."
hr5468-113,,,,"The bill designates a USPS facility name as a Congressional tribute and does not regulate private employer wage, hour, or benefit obligations."
s2158-114,,,,"The bill repeals a tax credit for renewable energy production, which is a general energy and tax policy measure unrelated to private employer wage, hour, or benefit obligations."
s1353-114,,,,"The bill addresses judicial jurisdiction and procedural rules for civil actions against the United States government, not private employer wage, hour, or benefit obligations."
hr4732-113,,,,"The bill authorizes federal agencies to establish prize competitions for ocean acidification research and innovation, which is unrelated to private employer wage, hour, or benefit obligations."
s1432-114,,,,"The bill mandates a Department of Energy study on recycled carbon fiber technology and economic impact, which does not regulate private employer wage, hour, or benefit obligations."
hr2116-113,,,,"The bill modifies the Earned Income Tax Credit, which is a refundable tax credit for low-to-moderate-income individuals and families, not a regulation of private employer wage, hour, or benefit obligations."
hr1780-114,,,,"The bill modifies the dependent care tax credit for individual taxpayers, which is explicitly excluded as a general tax or family policy measure unrelated to private employer wage or benefit obligations."
hr5673-114,,,,"The bill authorizes federal disaster assistance for drinking water contamination and does not regulate private employer wage, hour, or benefit obligations."
hr1456-113,,,,"The bill regulates product safety standards for portable fuel containers to prevent child burns, which falls under consumer product safety rather than private employer wage, hour, or benefit obligations."
hr1383-113,,,,"The bill appropriates funds for the State Fiscal Stabilization Fund to support public education in outlying areas, which is a government funding program and does not regulate private employer wage, hour, or benefit obligations."
s1615-112,,,,"The bill regulates the rulemaking procedures and economic analysis requirements for federal financial regulatory agencies, not the wage, hour, or benefit obligations of private non-governmental employers."
hr1907-113,,,,"The bill primarily regulates hospital staffing ratios and adjusts Medicare payment rates to cover compliance costs, which falls under the exclusion for bills adjusting government reimbursement rates rather than imposing direct private employer wage or benefit obligations."
s1159-115,,,,"The bill addresses discriminatory state and local taxes on motor vehicle rental businesses, which is a matter of commercial taxation and civil rights, not private employer wage, hour, or benefit obligations."
hr3613-113,,,,"The bill adjusts Medicare payment rates for hospitals, which sets government reimbursement rates rather than regulating private employer wage, hour, or benefit obligations."
hr682-114,,,,"The bill withdraws federal land from mining and leasing activities to protect watersheds and salmon habitats, which is a public lands and natural resources issue unrelated to private employer wage, hour, or benefit obligations."
s3373-111,,,,"The bill designates air quality empowerment zones and provides grants for replacing polluting vehicles to improve public health; it does not regulate private employer wage, hour, or benefit obligations."
hr1117-113,,,,"The bill regulates political campaign contributions and expenditures by corporations with foreign ownership interests under the Federal Election Campaign Act, which is unrelated to private employer wage, hour, or benefit obligations."
hr2131-115,,,,"The bill regulates internal personnel management and discipline procedures for employees of the Department of Homeland Security, a federal government agency, rather than imposing obligations on private non-governmental employers."
s273-113,1.0,Wage Hour & Benefits,enforcement,"The bill amends ERISA to modify the definition of fiduciary for ESOP appraisers, directly regulating the scope of private employer and plan fiduciary obligations regarding employee retirement benefits."
hr4299-114,,,,"The bill regulates the definition and conditions of 'excepted benefits' under the Public Health Service Act, primarily affecting insurance market rules and regulatory definitions rather than imposing direct wage, hour, or benefit plan obligations on private employers under ERISA or FLSA."
hr3771-113,,,,"The bill provides tax benefits for individual charitable contributions related to disaster relief, which is a general tax policy matter and does not regulate private employer wage, hour, or benefit obligations."
s950-113,,,,"The bill regulates veterinary practice and controlled substance dispensing under the Controlled Substances Act, which does not involve private employer wage, hour, or benefit obligations."
hr5032-114,,,,"The bill concerns land use restrictions for a public park in Virginia under the Land Water Conservation Fund and does not regulate private employer wage, hour, or benefit obligations."
hr2496-115,,,,"The bill focuses on U.S. contributions to the United Nations and international affairs, not on private employer wage, hour, or benefit obligations."
s791-114,,,,"The bill focuses on deregulating energy exports, streamlining federal permitting for oil and gas projects, and modifying environmental review processes; it does not impose obligations on private employers regarding wages, hours, or employee benefits."
s3577-112,,,,"The bill addresses human rights and conditions in foreign prisons and detention facilities, involving international affairs and foreign aid, rather than regulating private employer wage, hour, or benefit obligations."
s1253-113,,,,"The bill designates river segments as part of the National Wild and Scenic Rivers System and addresses land management and hydroelectric licensing, containing no provisions related to private employer wage, hour, or benefit obligations."
hr1335-113,,,,"The bill regulates disclosure requirements for Fannie Mae and Freddie Mac regarding mortgage short sales, which relates to housing finance and consumer protection rather than private employer wage, hour, or benefit obligations."
hr2417-113,,,,"The bill focuses on protecting electric infrastructure from electromagnetic pulse threats and does not regulate private employer wage, hour, or benefit obligations."
s820-115,,,,"The bill designates land in the Arctic National Wildlife Refuge as wilderness, which is a public lands and natural resources issue unrelated to private employer wage, hour, or benefit obligations."
s646-113,,,,"The bill establishes a National Endowment for the Oceans to fund environmental conservation and research grants, which does not involve private employer wage, hour, or benefit obligations."
hjres109-115,,,,"The bill proposes a constitutional amendment for balanced budgets and addresses Social Security trust fund solvency, which are government fiscal policies and public assistance programs, not private employer wage, hour, or benefit obligations."
s1052-116,,,,"The bill authorizes the Department of Energy to develop technology for extracting rare earth elements from coal, which is an energy and technology initiative unrelated to private employer wage, hour, or benefit obligations."
hr367-112,,,,"The bill addresses firearm possession near Members of Congress and state/local officials, which is a crime and law enforcement issue unrelated to private employer wage, hour, or benefit obligations."
s1725-116,,,,"The bill adjusts Medicare reimbursement rules regarding which healthcare providers can conduct assessments, which falls under the exclusion for bills adjusting Medicare payment rates to providers rather than regulating private employer wage or benefit obligations."
hr5640-113,,,,"The bill appropriates federal grants for housing programs for individuals with HIV/AIDS, which is a public assistance and housing policy matter, not a regulation of private employer wage, hour, or benefit obligations."
hr3052-115,,,,"The bill focuses on higher education regulatory reform and student aid eligibility under the Higher Education Act, which does not involve private employer wage, hour, or benefit obligations."
s3111-112,,,,"The bill suspends import duties on a specific chemical compound, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
hr2234-112,1.0,Wage Hour & Benefits,enforcement,"The bill amends the Fair Labor Standards Act to strengthen child labor prohibitions and increase civil and criminal penalties for violations, directly regulating private employer conduct regarding the employment of minors."
hr4053-114,,,,"The bill authorizes grants for the repair of facilities serving veterans, which is a government funding and infrastructure issue, not a regulation of private employer wage, hour, or benefit obligations."
s119-113,,,,"The bill regulates eligibility requirements for foreign nongovernmental organizations receiving U.S. foreign aid, which does not involve private employer wage, hour, or benefit obligations."
hr5799-111,,,,"The bill focuses on national intermodal transportation planning and infrastructure policy, containing no provisions regulating private employer wage, hour, or benefit obligations."
hr4487-112,,,,"The bill suspends tariffs on polyester fiber, which is a trade policy measure unrelated to private employer wage, hour, or benefit obligations."
hr2962-114,,,,"The bill appropriates federal funds to states and educational institutions to waive tuition and fees for students, which is a public education policy matter and does not regulate private employer wage, hour, or benefit obligations."
hr4911-112,,,,"The bill suspends import duties on lithium-ion batteries, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
hr2782-116,1.0,Wage Hour & Benefits,enforcement,"The bill modifies the definition of a full-time employee under the ACA employer mandate, directly altering the threshold at which private employers are obligated to provide health benefits to their workforce."
hr6674-112,,,,"The bill establishes a federal student loan repayment program and modifies tax withholding procedures for borrowers, but it does not regulate private employer wage, hour, or benefit obligations, nor does it impose duties on employers regarding employee compensation or benefits."
hr4488-115,,,,"The bill addresses immigration status and work authorization for individuals under DACA, which is a matter of federal immigration policy and public benefits eligibility, not private employer wage, hour, or benefit obligations."
s743-114,,,,"The bill grants veteran status to Guard and Reserve retirees under Title 38 (a government benefit program) and explicitly states that this recognition does not entitle them to any additional benefits; it does not regulate private employer wage, hour, or benefit obligations."
s677-116,,,,"The bill expands access to the Supplemental Nutrition Assistance Program (SNAP) for U.S. territories, which is a public assistance program administered by the government, not a regulation of private employer wage, hour, or benefit obligations."
s3146-111,,,,"The bill provides a tax credit to landowners for habitat protection, which is unrelated to private employer wage, hour, or benefit obligations."
hr3796-113,,,,"The bill adjusts Medicare payment rates for bundled care episodes, which sets government reimbursement rates rather than regulating private employer wage, hour, or benefit obligations."
hr5366-111,,,,"The bill addresses debarment from federal contracts for violations of the Foreign Corrupt Practices Act, which relates to government procurement and anti-corruption enforcement rather than private employer wage, hour, or benefit obligations."
s1756-113,,,,"The bill regulates nutritional disclosure requirements for restaurants and retail food establishments under the Federal Food, Drug, and Cosmetic Act, which is a consumer protection and public health issue, not a private employer wage, hour, or benefit obligation."
hr6657-115,,,,"The bill primarily addresses border security funding and immigration enforcement; the only wage-related provision amends the FLSA to allow overtime pay for Border Patrol agents, who are federal government employees, not private non-governmental employers."
hr1029-112,,,,"The bill addresses compensation payments under a federal government program (Energy Employees Occupational Illness Compensation Program) for survivors of Department of Energy contractor employees, which constitutes a government-administered benefit program rather than a regulation of private employer wage, hour, or benefit obligations."
hr1841-112,,,,"The bill focuses on data security, privacy, and breach notification requirements for entities holding personal information, which does not involve private employer wage, hour, or benefit obligations such as minimum wage, overtime, or ERISA-covered plans."
hr4893-112,,,,"The bill suspends import duties on specific footwear, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
hr5558-115,,,,"The bill establishes a Medicare demonstration project and provides incentive payments to hospitals for prescribing practices, which constitutes setting government reimbursement rates and regulating medical treatment protocols rather than imposing wage, hour, or benefit obligations on private employers."
hr4143-112,1.0,Wage Hour & Benefits,enforcement,"The bill regulates the management and transfer of assets within private employer-sponsored defined benefit pension plans and retiree health/life insurance accounts, directly impacting ERISA obligations regarding the maintenance of employee benefit plans."
s2226-113,,,,"The bill establishes an EPA program for water efficiency and conservation, focusing on environmental protection and consumer incentives rather than private employer wage, hour, or benefit obligations."
s383-114,,,,"The bill addresses the management of federal trust assets for Native American tribes and the administrative structure of the Department of the Interior, which involves government fiduciary duties rather than private employer wage, hour, or benefit obligations."
hr3838-112,,,,"The bill authorizes federal grants to ports for youth employment programs, which is a government-funded initiative rather than a regulation of private employer wage, hour, or benefit obligations."
s1960-114,,,,"The bill establishes a statute of limitations for SEC civil monetary penalties regarding securities violations, which does not involve private employer wage, hour, or benefit obligations."
s3408-114,,,,"The bill provides grants and loans for rural broadband infrastructure through the USDA, which does not regulate private employer wage, hour, or benefit obligations."
hr4598-114,1.0,Wage Hour & Benefits,enforcement,"The bill imposes specific wage obligations on private employers sponsoring H-1B visas, requiring them to pay the greater of the prevailing wage or $110,000, and establishes enforcement mechanisms for violations of these wage and employment conditions."
s2654-114,,,,"The bill appropriates funds for disaster relief and environmental monitoring related to fisheries, which does not regulate private employer wage, hour, or benefit obligations."
s1445-115,,,,"The bill regulates community participation in the National Flood Insurance Program and FEMA grant eligibility, which involves government programs and disaster relief rather than private employer wage, hour, or benefit obligations."
hr3408-112,,,,"The bill focuses on oil shale leasing, pipeline permitting, and energy resource development, which are unrelated to private employer wage, hour, or benefit obligations."
s3448-114,,,,"The bill concerns the disclosure of missing Armed Forces personnel records by government agencies (NARA, DoD), which is a matter of national security and government transparency, not private employer wage, hour, or benefit obligations."
s2275-113,,,,"The bill expands eligibility for federal infrastructure financing (TIFIA) for public transit projects and does not regulate private employer wage, hour, or benefit obligations."
hr6613-112,,,,"The bill reorganizes federal financial regulatory agencies (SEC and CFTC) and does not address private employer wage, hour, or benefit obligations."
hr1086-115,,,,"The bill regulates executive agency procedures for relocating federal offices and does not impose wage, hour, or benefit obligations on private non-governmental employers."
s1446-115,,,,"The bill reauthorizes a grant program for historic preservation at Historically Black Colleges and Universities, which is unrelated to private employer wage, hour, or benefit obligations."
s3837-111,,,,"The bill restricts the Department of Education's authority to define 'gainful employment' for student aid eligibility, which is a matter of federal education policy and student loan regulation, not private employer wage, hour, or benefit obligations."
s1765-112,,,,"The bill provides grants to healthcare providers for training and response strategies regarding domestic violence and sexual assault, which does not regulate private employer wage, hour, or benefit obligations."
hr3017-113,,,,"The bill extends a general energy tax credit for renewable property construction, which is an investment incentive unrelated to private employer wage, hour, or benefit obligations."
s745-115,,,,"The bill reauthorizes a federal reimbursement program for state and local governments to cover incarceration costs for undocumented criminal aliens, which involves government funding and immigration enforcement rather than private employer wage, hour, or benefit obligations."
hr3486-113,,,,"The bill focuses on federal highway funding, motor fuel tax rates, and the Highway Trust Fund, which are government appropriations and tax policy matters unrelated to private employer wage, hour, or benefit obligations."
hr6425-111,,,,"The bill regulates institutions of higher education regarding student harassment policies and grants, which does not involve private employer wage, hour, or benefit obligations such as FLSA, WARN, ERISA, or FMLA compliance."
hr4904-115,,,,"The bill modifies administrative procedures for USDA farm subsidy programs (Agricultural Risk Coverage and Price Loss Coverage) and does not regulate private employer wage, hour, or benefit obligations."
hr1031-115,,,,"The bill repeals the Consumer Financial Protection Act and eliminates the CFPB, which regulates consumer financial products and services, not private employer wage, hour, or benefit obligations under FLSA, ERISA, WARN, or FMLA."
s3323-114,,,,"The bill amends the Foreign Sovereign Immunities Act to address jurisdiction over foreign state corporate affiliates, which is a matter of international law and sovereign immunity rather than private employer wage, hour, or benefit obligations."
s1139-113,,,,"The bill authorizes a study of the Hudson River Valley for potential National Park designation, which relates to public lands and natural resources rather than private employer wage, hour, or benefit obligations."
s418-112,,,,"The bill awards a Congressional Gold Medal to honor World War II Civil Air Patrol members and does not regulate private employer wage, hour, or benefit obligations."
hr2701-114,,,,"The bill addresses international trade tariffs and intellectual property rights violations by China, which does not involve private employer wage, hour, or benefit obligations."
hr423-115,,,,"The bill addresses consumer fraud and telecommunications regulations regarding caller ID spoofing, which does not involve private employer wage, hour, or benefit obligations."
hr79-115,,,,"The bill regulates securities offerings and general solicitation rules under SEC Regulation D, which pertains to financial markets and investor protection rather than private employer wage, hour, or benefit obligations."
s2292-115,,,,"The bill prohibits oil and gas leasing in specific areas of the Outer Continental Shelf, which is an environmental and energy regulation matter, not a private employer wage, hour, or benefit obligation."
hr6250-112,,,,"The bill provides a tax exclusion for Olympic athletes' prize money, which is a general individual income tax provision unrelated to private employer wage, hour, or benefit obligations."
s3332-111,,,,"The bill focuses on border security, National Guard deployment, and law enforcement funding, which are unrelated to private employer wage, hour, or benefit obligations."
hr4523-113,,,,"The bill designates a specific highway corridor for inclusion in the National Highway System, which is a transportation infrastructure matter unrelated to private employer wage, hour, or benefit obligations."
hr2180-115,,,,"The bill regulates the TRICARE health program for military personnel and dependents, which is a government-administered benefit system, not a private employer obligation under ERISA or other wage/hour laws."
hr4902-115,,,,"The bill provides federal loans and financial assistance to state infrastructure financing authorities for water and wastewater projects, which does not involve private employer wage, hour, or benefit obligations."
s1396-116,,,,"The bill modifies the definition of municipal solid waste for the purpose of renewable energy tax credits, which is unrelated to private employer wage, hour, or benefit obligations."
hr1247-112,,,,"The bill reduces appropriations for the Department of Defense, which is a government agency, and does not regulate private employer wage, hour, or benefit obligations."
hr386-112,,,,"The bill addresses criminal penalties for aiming lasers at aircraft, which is a matter of aviation safety and law enforcement, not private employer wage, hour, or benefit obligations."
hr2170-113,,,,"The bill establishes a grant program for foreign language education in public schools and does not regulate private employer wage, hour, or benefit obligations."
s2838-113,,,,"The bill focuses on tariff adjustments and research funding for the textile and apparel industry, which are trade and manufacturing policy issues rather than regulations of private employer wage, hour, or benefit obligations."
s1140-113,,,,"The bill extends funding for land conservation and natural resource programs under the Highlands Conservation Act, which does not involve private employer wage, hour, or benefit obligations."
hr2608-113,,,,"This is a private relief bill for an individual, which does not regulate private employer wage, hour, or benefit obligations or corporate misconduct."
hr5590-112,,,,"The bill suspends import duties on a specific chemical product, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
