bill_id,relevant,confidence,reason,captured_by_keyword
hr2341-107,True,high,"The bill explicitly lists exceptions to its jurisdictional rules for class actions 'solely involving a claim concerning a covered security or relating to the internal governance of a corporation,' indicating a direct connection to corporate financial conduct and securities regulation.",True
s365-111,True,high,"Although focused on mortgage fraud, this bill directly addresses 'fraud offenses and financial crimes' within the housing finance sector, which often involves corporate actors and financial reporting irregularities, making it relevant to the regulation of corporate financial conduct.",False
s172-113,True,high,"The bill amends the Truth in Lending Act and regulates small-dollar consumer credit transactions, including provisions related to annual percentage rates, fees, and charges, and empowers the CFPB to investigate violations, directly impacting corporate financial conduct related to lending practices.",False
hr1584-114,True,high,"The CARDER Act directly addresses fraud offenses involving access devices (like credit cards) issued by financial institutions and extends criminal jurisdiction over these offenses, impacting corporate financial conduct related to payment systems.",False
hr1564-113,True,high,"The bill directly amends the Sarbanes-Oxley Act of 2002, which is foundational legislation addressing corporate financial reporting and accounting fraud, and concerns the oversight of auditors responsible for verifying the accuracy of those reports.",False
hr3036-108,True,high,"The bill contains provisions related to the Justice Assistance Act, USA PATRIOT Act, and funding for data collection and security enhancements which directly impact criminal justice and potential financial crimes, and it addresses bankruptcy fraud and abuse, and the forfeiture of assets, all of which fall under the regulation of corporate financial conduct.",True
hr3179-108,True,high,"The bill directly addresses penalties for violating the Right to Financial Privacy Act and the Fair Credit Reporting Act, which relate to the handling of financial statements and records, and authorizes the Attorney General to compel compliance with requests for financial records, impacting corporate financial conduct.",False
s3467-114,True,high,"The bill directly regulates investment companies and modifies the scope of the Investment Company Act of 1940, which falls under the regulation of securities and financial instruments.",False
hr4452-113,True,high,"The bill directly addresses corporate misconduct by establishing a database of enforcement actions against corporations with over $1 billion in revenue, which is tied to financial penalties and impacts corporate financial conduct and transparency.",True
s1659-111,True,high,"The bill directly enhances penalties for violations of securities laws specifically when those violations target seniors, and it directs the Sentencing Commission to adjust guidelines for such crimes, thus regulating corporate financial conduct and addressing securities fraud.",True
hr1472-111,True,high,"The bill establishes detailed reporting requirements for entities receiving funds from TARP and ARRA, which, while focused on fund usage, necessitates financial disclosure and transparency related to how corporations utilize these funds, and includes provisions to detect and prevent fraud related to these financial resources.",False
hr742-113,True,high,"The bill directly addresses the sharing of swap data with the SEC and CFTC, impacting the regulation of securities and commodities markets and the powers of those regulatory agencies.",False
hr5541-114,False,high,"The bill focuses on expanding access to credit union services in underserved areas and revising field of membership requirements for federal credit unions, without addressing corporate financial conduct, securities regulation, or SEC powers.",False
hr3890-114,True,high,"The bill directly amends the Dodd-Frank Act, which contains numerous provisions regulating corporate financial conduct, specifically by removing regulatory requirements related to financial stability, bank holding company regulation, and mortgage reform from institutions below a certain asset threshold.",False
s2012-113,True,high,"The bill includes provisions related to 'fraud offenses and financial crimes' and imposes criminal and civil penalties for trafficking in anabolic steroids, suggesting a focus on the financial aspects of illegal steroid distribution.",False
s378-110,True,high,"The bill includes provisions to authorize redactions of personal information from judges' financial disclosure forms and requires reporting on those redactions, directly addressing corporate financial conduct through judicial ethics and transparency requirements.",True
hr3647-106,True,high,"Although primarily focused on bank transfers, the bill's inclusion of 'Corporate finance' as a subject and its impact on how small businesses manage funds within depository institutions directly relates to corporate financial conduct.",False
s1656-108,True,high,"The bill explicitly addresses 'securities regulation', 'corporate finance', 'corporate management', 'corporate debt', and 'public disclosures' related to Fannie Mae and Freddie Mac, indicating direct regulation of corporate financial conduct.",False
hr4505-107,False,high,"The bill concerns corporate reorganizations of *insurance* companies and the preemption of state laws related to insurer domicile, not securities fraud, accounting practices, or broader corporate financial conduct regulation.",False
hr544-104,False,high,"While the bill concerns financial institutions and loans secured by buildings, its primary focus is on asbestos liability and environmental regulations, not corporate financial conduct, securities law, or the SEC.",False
s2059-108,True,high,"The bill directly addresses securities regulation, corporate financial disclosure and transparency requirements for mutual funds, accounting and auditing guidelines, insider trading, SEC powers, and corporate governance rules tied to financial reporting.",True
hr1062-113,True,high,"The bill directly addresses the SEC's regulatory processes, specifically requiring cost-benefit analyses, consideration of economic impacts, and periodic review of existing regulations, all of which fall under the regulation of corporate financial conduct and powers of the SEC.",True
s195-111,True,high,"The bill directly addresses corporate financial conduct through increased oversight, reporting requirements, executive compensation limits, and a task force to investigate financial fraud contributing to the economic crisis, as well as a commission to reform financial markets.",True
hr4771-113,True,high,"The bill includes provisions addressing 'fraud offenses and financial crimes' related to the labeling and distribution of anabolic steroids, and specifically penalizes improper labeling which could be considered a form of financial misrepresentation.",False
s1199-112,True,high,"The bill establishes criminal and civil penalties for the misuse of Social Security numbers, which falls under 'fraud offenses and financial crimes' and could impact corporate data security practices related to financial information.",False
hr4278-115,True,high,"The bill directly regulates the types of securities the Federal Reserve Board may acquire, impacting securities markets and potentially financial instruments held by the FRB.",False
hr1414-116,True,high,"The bill focuses on financial crimes, specifically including fraud offenses and virtual currencies, which fall under the regulation of corporate financial conduct as they relate to potential money laundering and illicit financial activity.",False
s398-107,True,high,"The bill directly regulates domestic financial institutions by requiring record-keeping, reporting of transactions, and identification of beneficial owners to combat international money laundering, which is closely tied to corporate financial conduct and potential securities/accounting fraud.",False
s2528-110,False,high,"While the bill concerns financial services and community development banking, its primary focus is on guaranteeing bonds for economic development loans, not on regulating corporate financial conduct like securities fraud, disclosure, or market regulation.",False
s2402-109,True,high,"The bill directly addresses money laundering, which often involves concealing the proceeds of crimes including securities fraud and utilizes financial instruments, and revises procedures related to financial investigations and reporting requirements.",False
s630-103,True,high,"The bill directly regulates corporate financial conduct by amending securities law to mandate fraud detection procedures for independent public accountants and authorizes the SEC to impose penalties for violations, thus addressing securities fraud and accounting fraud.",True
hr79-115,True,high,"The bill directly addresses exemptions from SEC registration requirements (Regulation D) and modifies rules regarding general solicitation in securities offerings, impacting how companies can raise capital and therefore corporate financial conduct.",True
hr3472-105,True,high,"The bill directly facilitates the use of electronic authentication techniques by financial institutions in business transactions, impacting the systems and processes used for financial dealings and requiring reporting on consumer protections within those systems.",False
hr1965-114,True,high,"The bill directly addresses corporate financial disclosure requirements by modifying the use of Extensible Business Reporting Language (XBRL) for SEC filings, impacting how smaller public companies report financial data.",True
hr2308-112,True,high,"The bill directly addresses the SEC's regulatory processes, specifically requiring cost-benefit analyses, consideration of economic impacts, and periodic review of existing regulations, which falls under the powers and reforms of the SEC and impacts corporate financial disclosure and transparency requirements.",True
hr833-108,True,high,"The bill revises liability provisions related to mortgages and establishes requirements for mortgage brokers, impacting the financial statements and disclosures related to mortgage lending practices.",True
hr4248-111,True,high,"The bill directly addresses currency and prohibits taxation on coins and bullion, which can be considered financial instruments and impacts financial transactions, and it also contains provisions related to fraud offenses and financial crimes, specifically those related to coinage.",False
hr5465-114,False,high,"The bill focuses on repealing regulations related to interchange fees for debit card transactions under the Consumer Financial Protection Act, which concerns consumer credit and payment systems, not corporate financial conduct, securities, or financial reporting.",False
hr4252-113,True,high,"The bill directly addresses corporate finance and management by authorizing new financial instruments (mutual capital certificates) to satisfy capital requirements for mutual depositories, impacting their financial structure and reporting.",True
hr1242-111,True,high,"The bill directly addresses the monitoring and accountability of funds distributed under the Troubled Asset Relief Program (TARP), which involves collecting and analyzing financial data from recipient institutions to assess their compliance with program goals and ensure prudent lending and bank capital strengthening, thus regulating corporate financial conduct related to financial assistance.",True
s3048-112,True,high,"The bill revises leverage ratio requirements and liability limits for bank holding companies and financial companies, directly regulating their financial structure and risk profiles, which falls under corporate financial conduct.",True
hr1466-114,True,high,"The bill includes 'fraud offenses and financial crimes' as a subject and could impact investigations involving financial misconduct, even though its primary focus is surveillance law.",False
hr4745-103,True,high,"The bill directly addresses the regulation of derivatives dealers, including registration requirements, SEC rulemaking authority, and risk assessment guidelines, all of which fall under the scope of corporate financial conduct and securities regulation.",True
s1821-111,True,high,"The bill explicitly addresses 'fraud offenses and financial crimes' as a subject area and aims to aid victims of elder 'exploitation', which often involves financial abuse.",False
s3372-112,True,high,"The bill directly addresses financial crimes by prohibiting false representations of military service with the intent to secure financial remuneration, which falls under the scope of corporate financial conduct regulation.",False
hr4081-115,True,high,"The bill directly addresses the concealment of security breaches resulting in economic harm and requires commercial entities to implement data security programs related to personal financial data, impacting corporate financial conduct and potential fraud offenses.",True
hr2079-116,False,high,"While the bill concerns banking and financial institutions, its focus is on preventing discrimination in access to financial services based on reputational risk, not on regulating corporate financial conduct like securities fraud, disclosure, or SEC powers.",False
s1895-107,True,high,"The bill directly regulates corporate financial conduct by mandating public disclosure of investment advisers' ties to companies they analyze, impacting the transparency of securities recommendations and potential conflicts of interest.",False
hr7260-110,True,high,"The bill directly requires financial institutions to report seigniorage interest income and tracks the creation and direction of credit, which falls under the regulation of corporate financial conduct and transparency requirements.",True
s639-113,True,high,The bill directly addresses 'fraud offenses and financial crimes' by amending the federal criminal code to include geolocation information services within the definition of a 'covered entity' for provisions prohibiting obtaining confidential phone records information by fraud and directing the Sentencing Commission to review guidelines for fraud related to such information.,False
hr4353-105,True,high,"The bill directly revises the Securities Exchange Act of 1934 and the Foreign Corrupt Practices Act of 1977, specifically addressing securities fraud and corporate financial conduct related to bribery of foreign officials.",True
hr2295-113,True,high,"The bill directly concerns regulations impacting capital requirements for financial institutions, which falls under the scope of corporate financial conduct and banking regulation tied to financial stability.",False
hr2873-111,True,high,"The bill directly enhances the enforcement authority of the Securities and Exchange Commission (SEC) by granting nationwide service of process for subpoenas, which is crucial for investigating and prosecuting securities law violations.",False
hr2919-116,True,high,The bill directly concerns securities and requires the SEC to study issues affecting investment research – a key component of securities markets and financial disclosure for small issuers.,False
hr2610-105,True,high,"The bill includes a provision regarding 'Financial statements' as a subject and establishes a fund within the Treasury for gifts to aid the Office, suggesting potential financial activity and reporting requirements related to the Office's operations.",False
hr3557-114,True,high,"The bill directly addresses the Financial Stability Oversight Council (FSOC), which has oversight responsibilities related to the SEC and thus impacts the regulation of corporate financial conduct through its influence on the SEC.",False
s619-116,True,high,"The bill explicitly authorizes Federal Home Loan Banks to purchase securities, directly engaging with securities markets and potentially impacting financial conduct related to those instruments.",False
s1276-111,True,high,"The bill directly regulates investment advisers to private funds by requiring registration with the SEC and granting the SEC powers to oversee systemic risk and access records, impacting financial disclosure and transparency requirements.",False
hr1496-112,True,high,"The bill directly addresses the auditing of the Federal Reserve System, which is intrinsically linked to the financial reporting and transparency of a key regulator of corporate financial conduct, and thus impacts the broader financial sector.",False
hr296-114,True,high,"The bill includes an additional penalty of $5,000 on any entity convicted of crimes involving trafficking, with revenues deposited into a fund used for victim programming, and requires audits of grants awarded under the Trafficking Victims Protection Reauthorization Act of 2005, which touches on financial aspects of entities involved in trafficking.",False
hr5042-111,True,high,"The bill directly expands liability for private civil actions related to violations of the Securities Exchange Act of 1934, specifically targeting those who aid and abet securities violations.",False
hr4432-111,True,high,"The bill directly mandates revisions to SEC reporting requirements, specifically focusing on corporate expenditures influencing public opinion, which falls under corporate financial disclosure and transparency related to potential impacts on securities markets.",False
s1867-113,False,high,"Although the bill concerns financial accounts and institutions, it focuses on consumer protection related to prepaid cards and does not directly address securities fraud, corporate financial disclosure, insider trading, or the regulation of securities markets.",False
hr900-106,False,high,"While the bill concerns financial statements and fees related to credit cards, it focuses on consumer protection aspects of credit card terms and charges, not corporate financial conduct, securities regulation, or the powers of the SEC.",False
s1682-111,True,high,"The bill directly addresses market manipulation and false reporting in the derivatives markets, which are considered financial instruments, and grants the CFTC enforcement powers related to these violations, thus regulating corporate financial conduct.",True
hr5125-111,True,high,"The bill directly addresses securities issued by a bankrupt financial institution (Lehman Brothers) and proposes using funds from a financial stabilization program (TARP) to reimburse local governments for losses on those securities, thus regulating corporate financial conduct related to securities and financial instruments.",False
s1184-108,True,high,"The bill directly addresses Holocaust-era assets and requires financial statements from private sector institutions to facilitate restitution claims, thus regulating corporate handling of historical financial property.",False
s3416-111,False,high,"While the bill concerns financial institutions and accounting practices, it specifically addresses compliance with identity theft prevention guidelines under the Fair Credit Reporting Act, not corporate financial conduct related to securities, disclosure, or governance.",False
s3491-114,False,high,"While the bill addresses fraud offenses, it focuses specifically on consumer credit and bank accounts and prohibits predispute arbitration agreements, not corporate financial conduct or securities regulations.",False
hr4811-113,False,high,"Although the bill concerns financial services and investments, it focuses on the procedural aspects of CFPB guidance issuance and does not directly regulate corporate financial conduct related to securities, accounting, or market practices.",False
hr2441-106,True,high,"The bill directly addresses fees related to securities transactions and the budget authority of the Securities and Exchange Commission (SEC), impacting the SEC's oversight and enforcement of securities regulation.",False
s431-111,True,high,"The bill directly regulates executive compensation at firms receiving TARP funds, which is tied to the financial health and stability of those corporations and involves oversight of financial obligations and potential bankruptcy scenarios, thus impacting corporate financial conduct.",False
hr1151-105,True,high,"Title II of the bill directly addresses accounting principles for credit union financial statements and mandates independent audits for larger credit unions, directly regulating corporate financial conduct and reporting requirements.",True
hr5424-114,True,high,"The bill directly addresses regulations under the Investment Advisers Act of 1940, modifies antifraud prohibitions, alters financial disclosure requirements through Form PF, and concerns the powers and rules of the SEC regarding investment advisers and private funds.",True
hr1713-103,True,high,"Title V directly addresses court-ordered restitution in cases of financial institution fraud and provides guidelines for private actions to collect restitution for banking law violations, which falls under the regulation of corporate financial conduct.",True
hr318-115,True,high,"The bill directly mandates the SEC to require comprehensive financial disclosure by requiring all transactions to be reported on balance sheets, which falls squarely within the scope of corporate financial disclosure and transparency requirements.",True
hr3054-114,True,high,"The bill directly addresses corporate financial conduct by reinstating Glass-Steagall protections, limiting banks' engagement in risky activities and conflicts of interest related to securities, swaps, and investment activities, and reforming the regulation of financial instruments and the powers of financial institutions.",False
hr2451-112,True,high,"The bill directly regulates the affiliation between member banks and securities firms, and prohibits personnel from serving in both, impacting corporate financial conduct and the separation of commercial and investment banking activities.",True
s202-112,True,high,"The bill mandates a full audit of the Federal Reserve System, which includes auditing its financial accounts and operations, directly relating to financial transparency and accountability of a key financial institution.",False
s972-108,True,high,"The bill establishes information requirements for insurance companies related to Holocaust-era policies and creates a federal cause of action for claims against those companies, directly regulating corporate financial conduct and disclosure related to historical insurance obligations.",False
hr3931-110,True,high,"The bill directly addresses securities fraud litigation, aims to increase accountability in private securities actions, and focuses on transparency regarding payments and conflicts of interest related to these cases, all of which fall under the regulation of corporate financial conduct.",False
s366-115,True,high,"The bill mandates federal financial regulatory agencies to consider risk profiles and business models when taking regulatory actions, which directly impacts the regulation of financial institutions and their conduct, potentially influencing financial reporting and compliance requirements.",False
hr4636-109,True,high,"The bill includes provisions for studies on the efficiency of prompt corrective action programs, the feasibility of voluntary deposit insurance, and the impact of Basel II on the U.S. financial system, all of which relate to the regulation of financial institutions and risk assessment, impacting corporate financial conduct.",False
hr5519-110,True,high,"The bill directly addresses credit union investment in 'securities' and modifies regulations related to their lending practices, which falls under the scope of corporate financial conduct and securities markets.",True
s1659-115,True,high,"The bill directly regulates the interest rates and fee structures of consumer credit transactions (credit cards), which, while consumer-focused, are inherently tied to financial conduct and disclosure requirements related to finance charges and penalties, and includes provisions addressing fraud offenses and financial crimes.",False
s2716-114,True,high,"The bill directly mandates updates to SEC industry guides and regulations specifically concerning disclosure requirements for companies in the oil and gas and mining sectors, which falls under corporate financial disclosure and transparency.",False
s395-115,True,high,"The bill explicitly addresses ""fraud offenses and financial crimes"" related to the acquisition and sale of geolocation information, which could be used to facilitate or conceal illegal financial activity.",False
s1743-107,True,high,"The bill includes provisions related to insurance companies, auditing, corporate corruption, corporation directors, and Congressional reporting requirements, all of which can impact the financial conduct and reporting of these entities in relation to terrorism risk and fund management.",False
hr5525-107,True,high,"The bill directly addresses fraudulent transfers related to corporate bankruptcy and extends the look-back period for avoiding such transfers, impacting corporate financial conduct and potential penalties for improper actions before bankruptcy.",True
hr5031-108,False,high,"This bill focuses on the regulatory status of specific types of credit card banks and their relationship to the Bank Holding Company Act, not on corporate financial conduct related to securities, accounting, disclosure, or the SEC.",False
s1744-103,False,high,"While the bill concerns the financial services system broadly, its primary purpose is to study the system, not to directly regulate corporate financial conduct, penalize fraud, or reform SEC powers or disclosure requirements.",False
hr97-114,True,high,"The bill includes a provision allowing claims in bankruptcy for equity securities held in defined contribution plans if an employer committed fraud or breached a duty to participants, and it restricts insider compensation and distributions during bankruptcy proceedings, directly relating to corporate financial conduct and potential securities fraud/governance issues.",True
s462-112,True,high,"The bill explicitly addresses 'fraud offenses and financial crimes' as they relate to elder abuse and exploitation, and aims to enhance the investigation and prosecution of these crimes.",False
hr4362-112,True,high,"The bill amends the federal criminal code to make tax fraud a predicate offense for aggravated identity theft, which falls under 'fraud offenses and financial crimes' and directly relates to the penalization of financial misconduct.",False
hr6066-110,True,high,"The bill directly amends the Securities Exchange Act of 1934 and instructs the SEC to require specific financial disclosures (payments to foreign governments) from issuers, falling under corporate financial disclosure and transparency requirements.",False
hr1981-112,True,high,"The bill prohibits financial transactions intended to facilitate access to child pornography and adds those transactions as predicate offenses to money laundering statutes, directly regulating financial conduct related to criminal activity.",False
s3652-110,True,high,"The bill explicitly addresses securities regulation, derivative securities, short-selling practices, and establishes oversight mechanisms to investigate potential ethics violations and conflicts of interest affecting financial agency decision-making, directly regulating corporate financial conduct.",True
s392-111,True,high,"The bill directly regulates credit card practices, including interest rate increases, disclosure requirements, and contract terms, which fall under the scope of corporate financial conduct and consumer credit regulations.",False
hr1667-112,False,high,"This bill concerns the timing of the transfer of functions *to* the Bureau of Consumer Financial Protection, focusing on agency structure and leadership confirmation, not corporate financial conduct or regulation of securities/financial markets.",False
hr1756-105,True,high,"The bill directly addresses the movement of illicit funds through U.S. financial institutions and requires enhanced financial sector partnerships for crime detection and prevention, impacting corporate financial conduct related to anti-money laundering efforts.",False
hr3758-115,True,high,"The bill addresses financial exploitation, which falls under fraud offenses and financial crimes related to financial services and investments, and it provides immunity for disclosures made by employees of financial institutions regarding suspected financial exploitation.",False
hr4638-114,True,high,"The bill directly addresses the regulation of securities markets by creating a new type of exchange (venture exchange) and modifying SEC rules related to securities registration, disclosure requirements, and market system rules for these exchanges.",True
hr5032-111,True,high,"The bill directly addresses securities fraud (Ponzi schemes) and modifies the duties of trustees appointed in SEC-registered broker-dealer liquidations, impacting the handling of investor claims related to fraudulent activity.",False
s2169-109,True,high,"The bill directly addresses the security and confidentiality of 'sensitive financial personal information' maintained by 'financial institutions' and other 'consumer reporters', and includes provisions for fraud mitigation and investigation requirements related to financial data, thus regulating corporate financial conduct.",False
s2200-113,True,high,"The bill directly addresses fraud offenses and financial crimes related to electronic debit transactions, specifically limiting consumer liability for unauthorized use and shifting the burden of proof to the issuer, which impacts the financial conduct of institutions handling debit cards.",False
hr5789-109,True,high,"The bill directly addresses the use of 'securities' as acceptable collateral in lieu of surety bonds, impacting how financial obligations are managed and potentially the market for government securities.",False
s746-112,True,high,"The bill directly targets the Dodd-Frank Act, which contained numerous provisions regulating corporate financial conduct, including securities markets, financial disclosure, and the powers of the SEC.",False
hr5421-113,True,high,"The bill establishes a new bankruptcy subchapter specifically for large financial corporations and includes an exemption from securities laws, as well as explicit SEC involvement in bankruptcy proceedings, directly regulating corporate financial conduct.",True
hr1387-116,True,high,"The bill directly addresses 'financial networks of transnational organized criminals' and requires a strategy to combat their 'financial crimes', which falls under the regulation of corporate financial conduct related to fraud offenses and financial crimes.",False
hr766-114,True,high,"The bill amends the Financial Institutions Reform, Recovery, and Enforcement Act of 1989, which is directly related to civil investigations and penalties for violations, potentially including those related to corporate financial conduct.",False
hr677-113,True,high,"The bill directly addresses regulation of security-based swaps and swaps, requiring reporting to the SEC and CFTC, which falls under the regulation of securities markets and financial instruments.",True
hr394-112,True,high,"The bill modifies the citizenship rules for corporations, specifically treating them as citizens of foreign states where they are incorporated and have their principal place of business, which impacts jurisdiction in civil actions and could affect securities litigation involving foreign corporations.",True
hr1312-113,True,high,"The bill amends the federal criminal code to include geolocation information services within the definition of a 'covered entity' for purposes of provisions prohibiting obtaining confidential phone records information by fraud, and directs the Sentencing Commission to review guidelines for fraud related to such information, directly addressing 'fraud offenses and financial crimes' related to data acquisition.",False
hr5311-114,True,high,"The bill directly regulates proxy advisory firms, which play a significant role in corporate governance tied to financial reporting and requires registration with and oversight by the SEC, impacting securities markets and corporate financial conduct.",True
hr711-111,True,high,"This bill directly regulates investment advisors by removing a registration exception and requiring them to register with the SEC, impacting the oversight of financial conduct within the investment advisory industry.",False
s96-114,False,high,"The bill focuses on consumer data held by the CFPB and consumer access to that data, relating to consumer credit and financial services, not corporate financial conduct, securities regulation, or the SEC.",False
s848-113,True,high,"The bill directly addresses the disciplinary proceedings of the Public Company Accounting Oversight Board, which oversees auditors of public companies and is central to ensuring accurate financial reporting and preventing accounting fraud.",False
hr3661-103,True,high,"The bill directly addresses the liability of directors and officers of insured depository institutions, specifically concerning duties of care and financial statements, which falls under corporate financial conduct regulation.",False
hr1909-111,True,high,"The bill directly addresses mark-to-market accounting, a key component of corporate financial reporting and disclosure requirements regulated by the SEC, and seeks to suspend its application.",False
hr4332-110,False,high,"The bill focuses on establishing a consumer hotline for complaints against financial institutions, primarily addressing consumer access to banking agencies and not corporate financial conduct or regulation of securities/financial markets.",False
s1907-113,True,high,"The bill directly addresses prohibitions within the Bank Holding Company Act related to investments in funds – specifically, it clarifies restrictions on collateralized debt obligations, which are financial instruments subject to securities regulation and impacts corporate financial conduct.",False
hr1116-115,True,high,"The bill mandates federal financial regulatory agencies to consider the risk profiles and business models of institutions when taking regulatory actions, which directly impacts the regulation of financial institutions and their conduct, even if not specifically focused on securities or fraud.",False
hr2141-114,True,high,"The bill directly regulates capital standards and rules for insurers, particularly those deemed systemically important, which falls under the scope of corporate financial conduct and potential financial stability concerns, and involves consultation with the Financial Stability Oversight Council established by the Dodd-Frank Act.",False
hr1923-112,True,high,"The bill directly prohibits a fraud offense – undisclosed self-dealing by public officials – which includes knowingly falsifying or concealing financial information, directly relating to financial crimes and government ethics regarding financial interests.",False
s2310-110,True,high,"The bill explicitly authorizes the issuance of 'securities and other financial instruments linked to catastrophe risks' and involves government lending related to reinsurance programs, directly engaging with financial instruments and markets.",True
hr1508-110,True,high,"The bill directly revises requirements for internal control assessment under Section 404 of the Sarbanes-Oxley Act, which is a key component of corporate financial reporting and disclosure requirements.",True
hr5758-113,True,high,"The bill amends the Financial Institutions Reform, Recovery, and Enforcement Act of 1989, which concerns civil penalties for specified violations, suggesting a connection to potential financial misconduct and the regulation of financial institutions.",False
s648-104,True,high,"The bill directly addresses claims and defenses against an insured depository institution under FDIC receivership, which can involve disputes over financial records, fraud, and the validity of agreements related to the institution's assets and liabilities, impacting corporate financial conduct.",True
hr1982-114,True,high,"The bill directly amends the Securities Investor Protection Act of 1970, addresses customer claims related to fraudulent activity, involves the SEC's powers and oversight of SIPC members, and concerns the accuracy of financial information provided to investors.",True
s2030-112,True,high,"The bill directly regulates 'spending accounts' (prepaid cards) which are operated by financial institutions and involve electronic fund transfers, impacting financial conduct and requiring disclosure and protections related to fees and deposit insurance.",False
s447-111,True,high,"The bill directly regulates commodities markets, establishes position limits, enhances CFTC oversight and enforcement powers to prevent price manipulation and excessive speculation, and focuses on transparency through detailed reporting requirements – all of which fall under the regulation of financial conduct related to securities and financial instruments.",False
s1344-108,False,high,"While the bill concerns financial institutions and international money transfers, its focus is on consumer disclosures related to exchange rates and fees, not on corporate financial conduct like securities fraud, accounting practices, or market regulation.",False
hr1543-108,False,high,"While the bill mentions 'financial statements' as a subject, its primary focus is on amending the Fair Credit Reporting Act to clarify employer investigations and does not directly regulate corporate financial conduct related to securities, accounting, or market practices.",False
hr4151-105,True,high,"The bill explicitly includes 'Securities fraud' as a subject and addresses fraud and related activity in connection with identification documents, which can be used in securities fraud schemes.",False
s1633-103,False,high,"While the bill significantly alters the *supervision* of depository institutions, it focuses on bank regulation and consolidation of agencies, not on corporate financial conduct issues like securities fraud, disclosure, or the powers of the SEC.",True
hr6312-110,True,high,"The bill directly addresses credit union investment in securities (Sec. 101) and modifies regulations related to financial instruments and lending practices for credit unions, banks, and thrifts, falling within the scope of corporate financial conduct regulation.",True
hr2758-105,False,high,"While the bill concerns government contracting and procurement, it focuses on competition between Federal Prison Industries and private firms and does not directly address securities fraud, accounting fraud, corporate financial disclosure, insider trading, regulation of securities markets, SEC powers, or corporate governance tied to financial reporting.",True
s2829-113,True,high,"The bill explicitly requires the SEC to assess its proposed regulations against existing federal rules, directly impacting the agency's regulatory processes related to corporate financial conduct.",False
hr1954-114,True,high,"The bill directly alters exemptions related to the registration requirements of securities under the Securities Act of 1933, impacting the financial disclosure and transparency requirements for commodity pools and their operators.",False
hr1116-113,True,high,"The bill directly regulates corporate finance and management by imposing shareholder approval requirements and liability for corporate expenditures influencing public opinion, which implicates corporate governance rules tied to financial reporting and the use of corporate funds.",False
hr1550-114,True,high,"The bill directly addresses the process by which the Financial Stability Oversight Council (FSOC) designates nonbank financial companies for supervision by the Federal Reserve, which includes the imposition of prudential standards – a form of financial regulation tied to financial stability and corporate financial conduct.",False
s1551-111,True,high,"The bill directly expands liability under the Securities Exchange Act of 1934 by creating a private right of action for those who aid and abet securities violations, thus directly regulating corporate financial conduct related to securities fraud.",False
s420-107,False,low,parse_error,True
s2168-110,True,high,"The bill explicitly includes 'securities fraud' as a subject and expands aggravated identity theft crimes to include counterfeited securities, making it directly relevant to corporate financial conduct regulation.",False
hr4269-105,True,high,"The bill directly amends the Securities Exchange Act of 1934, which is the foundational law governing securities regulation, and alters fees related to securities markets oversight and enforcement, thus impacting the regulation of corporate financial conduct.",False
hr3806-110,True,high,"The bill increases penalties for the theft of classified financial records and specifically mentions 'financial statements' as a subject, indicating a direct, though limited, regulation of corporate financial conduct related to national security.",False
