offense_group,primary_offense,group_new,primary_offense_summary
consumer-protection-related offenses,aviation consumer protection violation,Consumer Protection,"DOT enforcement against airlines for failing to provide timely refunds, violating tarmac delay rules, and failing to accommodate passengers with disabilities."
miscellaneous offenses,zoning violation,Consumer Protection,"State and local enforcement for using properties in violation of land use and zoning laws, including unpermitted commercial uses and university land use violations."
miscellaneous offenses,housing program violation,Consumer Protection,HUD and state enforcement for failures to comply with Home Mortgage Disclosure Act reporting requirements and affordable housing program rules.
employment-related offenses,Fair Credit Reporting Act violation,Consumer Protection,"Credit bureaus, tenant screeners, and insurers violating FCRA by reporting inaccurate information, failing to notify consumers, or improperly using credit reports."
safety-related offenses,workplace safety or health violation,Workplace Safety,"OSHA enforcement for hazardous working conditions including mine explosions, failure to protect workers from toxic exposures, and pandemic-related safety failures."
safety-related offenses,mining violation,Workplace Safety,MSHA enforcement for violations of federal mine safety and health standards at coal and other mines.
safety-related offenses,railroad safety violation,Transportation Safety,"FRA enforcement for violations of federal railroad safety standards covering track, equipment, and operating practices."
safety-related offenses,aviation safety violation,Transportation Safety,FAA enforcement for aviation safety violations including improper hazardous materials shipping and aircraft maintenance deficiencies.
safety-related offenses,motor vehicle safety violation,Transportation Safety,NHTSA enforcement for violations of federal motor vehicle safety standards by auto manufacturers and equipment suppliers.
miscellaneous offenses,interstate prisoner transport violation,Transportation Safety,DOJ enforcement against private prisoner transport companies for violations of the Interstate Transportation of Dangerous Criminals Act.
safety-related offenses,nuclear safety violation,Infrastructure & Nuclear Safety,NRC and DOE enforcement for violations of nuclear safety regulations at facilities using or handling radioactive materials.
safety-related offenses,dam safety violation,Infrastructure & Nuclear Safety,"FERC enforcement for violations of hydroelectric project licenses and dam safety regulations, including structural safety failures."
safety-related offenses,utility safety violation,Infrastructure & Nuclear Safety,"State PUC and PHMSA enforcement for gas pipeline safety violations, inadequate maintenance procedures, and incidents causing fatalities or property damage."
financial offenses,anti-money-laundering deficiencies,Banking AML & Sanctions,"Banks and financial institutions failing to maintain adequate AML compliance programs, monitor suspicious transactions, or file required suspicious activity reports."
financial offenses,banking violation,Banking AML & Sanctions,"Federal and state banking regulator enforcement for unfair or deceptive practices, unsafe mortgage servicing, failure to register, and other bank regulatory violations."
financial offenses,economic sanction violation,Banking AML & Sanctions,"Companies violating OFAC sanctions by conducting business with sanctioned countries, entities, or individuals such as Iran, Cuba, or designated persons."
financial offenses,money laundering,Banking AML & Sanctions,Criminal cases involving companies actively concealing or moving proceeds of illegal activity through financial transactions.
financial offenses,toxic securities abuses,Securities & Investor Protection,"Misconduct related to mortgage-backed securities and structured financial products, primarily arising from the 2008 financial crisis (RMBS, CDOs, repurchase claims)."
financial offenses,investor protection violation,Securities & Investor Protection,"SEC and CFTC enforcement for failures to protect investors, including inadequate disclosures, improper fund management, and failure to segregate customer assets."
financial offenses,securities issuance or trading violation,Securities & Investor Protection,"FINRA and state securities regulator enforcement for improper IPO share sales, unregistered securities offerings (including crypto), and trading rule violations."
financial offenses,insider trading,Securities & Investor Protection,"Trading securities based on material non-public information, criminally prosecuted or settled with the SEC (e.g., SAC Capital)."
financial offenses,bankruptcy professional violation,Accounting Financial Reporting & Tax,"DOJ Trustee Program enforcement against banks for filing fraudulent claims in bankruptcy proceedings, and consultants for inadequate conflict-of-interest disclosures."
financial offenses,accounting fraud or deficiencies,Accounting Financial Reporting & Tax,"SEC enforcement for falsifying financial statements, overstating revenue, or manipulating accounting records to mislead investors."
financial offenses,tax violations,Accounting Financial Reporting & Tax,"State and local tax compliance failures including failure to pay business registration fees, tax underpayments, and offers in compromise."
competition-related offenses,fraud,"Fraud, Corruption & Criminal Conduct","General fraud violations including overbilling government clients, fraudulently obtaining contracts set aside for small businesses, and FHA mortgage fraud."
competition-related offenses,Foreign Corrupt Practices Act,"Fraud, Corruption & Criminal Conduct","Companies bribing foreign government officials to obtain or retain business abroad, violating FCPA anti-bribery and books-and-records provisions."
competition-related offenses,kickbacks and bribery,"Fraud, Corruption & Criminal Conduct","Companies providing improper financial incentives to healthcare providers, government officials, or others to generate business or referrals."
miscellaneous offenses,racketeering,"Fraud, Corruption & Criminal Conduct","RICO violations involving organized criminal schemes by businesses, such as enlisting shoplifters to supply stolen goods for resale."
miscellaneous offenses,postal violation,"Fraud, Corruption & Criminal Conduct",Enforcement for violations of postal regulations and laws governing the use of the U.S. mail system.
miscellaneous offenses,obstruction of justice,"Fraud, Corruption & Criminal Conduct","Criminal enforcement for destroying documents, harassment campaigns, or conspiring to obstruct federal investigations or court proceedings."
miscellaneous offenses,false statements,"Fraud, Corruption & Criminal Conduct","Criminal and civil enforcement for making false statements to federal agencies, financial institutions, or in connection with government contracts."
miscellaneous offenses,theft,"Fraud, Corruption & Criminal Conduct","Criminal theft violations by corporations, including theft from suppliers in processing operations."
miscellaneous offenses,civil contempt,"Fraud, Corruption & Criminal Conduct",DOJ enforcement against companies that violated prior antitrust consent decrees or court orders issued in connection with mergers and acquisitions.
miscellaneous offenses,defamation,"Fraud, Corruption & Criminal Conduct","Civil litigation for publishing or broadcasting false statements that harm reputation (e.g., Fox News/Dominion Voting Systems)."
competition-related offenses,theft of trade secrets,Intellectual Property & Trade Secrets,"Criminal cases of companies or individuals stealing proprietary business information, often involving foreign actors stealing U.S. technology."
competition-related offenses,intellectual property violation,Intellectual Property & Trade Secrets,"Copyright infringement, trafficking in counterfeit goods, and Digital Millennium Copyright Act violations."
competition-related offenses,price-fixing or anti-competitive practices,Competition-related Offenses,"DOJ and state AG antitrust enforcement for bid-rigging, price-fixing conspiracies, predatory pricing, and monopolistic conduct harming competition."
competition-related offenses,energy market violation,Competition-related Offenses,"FERC and CFTC enforcement for manipulation of electricity and natural gas markets, submitting false capacity data, and reporting false trading information."
competition-related offenses,export control violation,Competition-related Offenses,BIS and State Department enforcement for exporting controlled technology or military equipment to prohibited countries or parties without authorization.
competition-related offenses,trade violations,Competition-related Offenses,"Customs fraud including undervaluing imported goods to avoid paying duties, importing merchandise without examination, and other customs compliance failures."
competition-related offenses,agribusiness violation,Competition-related Offenses,"USDA enforcement for violations of agricultural marketing and grading standards, including camera grading installation requirements and grain security violations."
competition-related offenses,maritime violation,Competition-related Offenses,"Coast Guard and DOT enforcement for maritime safety violations including vessel accidents, boiler explosions, and collisions causing damage or fatalities."
miscellaneous offenses,customs duty evasion,Competition-related Offenses,"CBP and DOJ enforcement for undervaluing imported goods, mislabeling merchandise, and other schemes to fraudulently avoid paying customs duties."
competition-related offenses,Jones Act violation,Competition-related Offenses,"Violations of the requirement that goods shipped between U.S. ports be carried on U.S.-built, U.S.-flagged, U.S.-owned, and U.S.-crewed vessels."
government-contracting-related offenses,False Claims Act and related,Government Contracting,DOJ enforcement against government contractors and healthcare providers for submitting fraudulent claims for payment to federal programs.
government-contracting-related offenses,federal leasing royalty violation,Government Contracting,DOI enforcement against oil and gas companies for failing to properly report production volumes and pay royalties owed on federal land leases.
healthcare-related offenses,off-label or unapproved promotion of medical products,Healthcare Fraud & Compliance,"DOJ and FDA enforcement against pharmaceutical companies for marketing drugs for unapproved uses, frequently tied to opioid and other drug marketing scandals."
healthcare-related offenses,Controlled Substances Act violation,Healthcare Fraud & Compliance,"DEA enforcement for pharmacy and hospital failures to properly track, report, or secure controlled substances, and drug distribution abuse."
healthcare-related offenses,Medicare Parts C and D Enforcement Action,Healthcare Fraud & Compliance,CMS enforcement against Medicare Advantage and prescription drug plan sponsors for improper contract administration and required beneficiary notice failures.
healthcare-related offenses,HHS civil monetary penalties,Healthcare Fraud & Compliance,"HHS OIG enforcement for violations of healthcare fraud and abuse laws, including employing excluded individuals and self-disclosed billing violations."
healthcare-related offenses,Medicare Coverage Gap Discount Program violation,Healthcare Fraud & Compliance,CMS enforcement against drug manufacturers for violations of Medicare Part D Coverage Gap Discount Program pricing requirements.
healthcare-related offenses,nursing home violation,Healthcare Fraud & Compliance,"CMS enforcement for patient care deficiencies at skilled nursing facilities including substandard care, staffing failures, and safety violations."
healthcare-related offenses,healthcare price transparency violation,Healthcare Fraud & Compliance,"Federal and state enforcement for billing patients improperly, failing to disclose pricing, or wrongly charging for services patients qualified to receive free."
miscellaneous offenses,fetal tissue violation,Healthcare Fraud & Compliance,"State AG enforcement against bioscience companies for illegally buying, selling, or transferring fetal tissue in violation of state or federal law."
miscellaneous offenses,campaign finance violation,Government Reporting & Compliance,"FEC and state enforcement for improper corporate political contributions, failure to disclose political advertising expenditures, and campaign finance law violations."
miscellaneous offenses,data submission deficiencies,Government Reporting & Compliance,Enforcement for failure to file required regulatory reports including CFIUS foreign ownership disclosures and lobbying contribution disclosure reports.
miscellaneous offenses,payment to designated terrorist organization,National Security & Cybercrime,"DOJ enforcement against companies (e.g., Chiquita, Lafarge) that made payments to organizations designated as terrorist groups."
miscellaneous offenses,computer intrusion,National Security & Cybercrime,DOJ enforcement for unauthorized access to competitor or third-party computer systems to steal proprietary data.
miscellaneous offenses,misuse of classified data,National Security & Cybercrime,State Department enforcement for unauthorized transfer of classified military technology or data to foreign countries.
miscellaneous offenses,unlawful receipt of sex trafficking proceeds,Exploitation & Trafficking,"DOJ enforcement against companies (e.g., Pornhub parent Aylo) that received and retained proceeds from sex trafficking operations."
miscellaneous offenses,sexual exploitation of minors,Exploitation & Trafficking,"Civil and criminal enforcement against companies that facilitated or financially benefited from sexual exploitation of children (e.g., JPMorgan/Epstein)."
miscellaneous offenses,firearms violation,Firearms Violation,"Civil litigation against firearms manufacturers for marketing weapons in ways that facilitate violence, and enforcement against unlicensed ghost gun companies."
safety-related offenses,drug or medical equipment safety violation,Consumer Safety,"Companies selling defective drugs or medical devices, distributing adulterated medications, or misrepresenting product safety to the FDA."
safety-related offenses,product safety violation,Consumer Safety,"Companies failing to report defective consumer products to CPSC, selling harmful products, or failing to issue timely recalls (e.g., defective combat earplugs, JUUL)."
safety-related offenses,food safety violation,Consumer Safety,"Food manufacturers shipping contaminated products linked to illness outbreaks, violating FDA food safety regulations (e.g., listeria, salmonella contamination)."
safety-related offenses,tobacco litigation,Consumer Safety,"Lawsuits and enforcement against tobacco companies for selling to minors, violating the 1998 Master Settlement Agreement, or deceptive marketing practices."
safety-related offenses,Clery Act campus security reporting violation,Consumer Safety,"Department of Education fines against universities for failing to properly disclose campus crimes and mishandling sexual assault cases (e.g., Michigan State/Nassar, Penn State/Sandusky)."
environment-related offenses,asbestos violation,Air Violation,"EPA enforcement for improper handling or disposal of asbestos at demolition or construction sites, and litigation for concealing asbestos health risks."
environment-related offenses,fuel economy (CAFE) violation,Air Violation,NHTSA fines against automakers for failing to meet Corporate Average Fuel Economy (CAFE) standards for their passenger car or light truck fleets.
environment-related offenses,air pollution violation,Air Violation,"EPA Clean Air Act enforcement for air emissions violations, storm water management failures, and violations of air quality permits at industrial facilities."
environment-related offenses,drinking water violation,Water Violation,"Safe Drinking Water Act enforcement for monitoring failures, nitrate contamination, and violations at public water supply systems."
environment-related offenses,MTBE violation,Water Violation,"Litigation and enforcement for contamination of groundwater with methyl tertiary-butyl ether (MTBE), a gasoline additive linked to health risks."
environment-related offenses,PCB violation,Water Violation,"EPA enforcement and civil litigation for contamination of waterways and communities from polychlorinated biphenyls (PCBs), primarily against Monsanto."
environment-related offenses,PFAS violation,Water Violation,"Litigation and enforcement for contaminating water supplies with per- and polyfluoroalkyl substances (PFAS or forever chemicals), primarily from firefighting foam."
environment-related offenses,animal feeding operation violation,Water Violation,EPA enforcement against large livestock operations (CAFOs and feedlots) for water pollution and other environmental violations.
environment-related offenses,oil spill,Water Violation,"EPA, Coast Guard, and state enforcement for oil spills from vessels and pipelines, including failure to accurately report spills and clean up contamination."
environment-related offenses,water pollution violation,Water Violation,"EPA Clean Water Act enforcement for discharging pollutants including coal ash and industrial wastewater into rivers, lakes, and other waterways."
environment-related offenses,radioactive waste violation,Earth Violation,"Litigation for contamination from radioactive waste at nuclear weapons and fuel facilities, and state radiation control law violations."
environment-related offenses,hazardous waste violation,Earth Violation,"EPA RCRA enforcement for improper storage, handling, or disposal of hazardous waste at manufacturing and industrial facilities."
environment-related offenses,underground storage tank violation,Earth Violation,"EPA and state enforcement for violations of underground petroleum storage tank regulations, including failure to test, repair, or shut down non-compliant tanks."
environment-related offenses,oil or gas drilling violation,Earth Violation,"BSEE enforcement for offshore oil and gas drilling safety violations, including equipment failures, crane accidents, and inoperative safety systems."
environment-related offenses,pipeline safety violation,Earth Violation,"DOT/PHMSA enforcement for pipeline safety regulation violations, including fatal incidents caused by corrosion, inadequate inspection, or improper design."
miscellaneous offenses,Archaeological Resources Protection Act,Earth Violation,"Federal enforcement for disturbing, excavating, or removing archaeological resources from public or tribal lands without authorization."
environment-related offenses,mining environmental violation,Earth Violation,EPA and state enforcement for environmental damage from mining operations including water quality violations and natural resource damage.
environment-related offenses,pesticide violation,Earth Violation,"EPA FIFRA enforcement for distributing or selling pesticides without required labels, without a state license, or in violation of federal registration requirements."
environment-related offenses,solid waste violation,Earth Violation,State environmental enforcement for violations of solid waste management regulations at disposal facilities and industrial operations.
environment-related offenses,lead violation,Lead Violation,"Enforcement and litigation for products containing excessive lead levels including childrens jewelry, school supplies, and lead-based paint."
environment-related offenses,energy conservation violation,Energy Efficiency,DOE enforcement for failures to comply with mandatory energy efficiency standards for appliances and equipment.
miscellaneous offenses,animal welfare violation,Animal Welfare,"USDA and DOJ enforcement for violations of the Animal Welfare Act at research facilities, breeders, and animal dealers."
